1787935475 8.11 55107819 399436353
1787935477 8.11 55108405 399438563
1787935479 7.94 55109356 399440413
1787935481 7.94 55110327 399442245
1787935483 7.62 55111286 399444084
1787935485 7.62 55111833 399446330
1787935487 7.62 55112744 399448176
1787935489 7.33 55113695 399449977
1787935491 7.33 55114643 399451777
1787935493 7.07 55115591 399453584
1787935495 7.07 55116139 399455850
1787935497 7.07 55117183 399457649
1787935499 6.98 55118260 399459408
1787935501 6.98 55119314 399461193
1787935503 6.42 55119992 399463338
1787935505 6.42 55120874 399465179
1787935507 6.42 55121855 399466909
1787935509 6.23 55122864 399468610
1787935511 6.23 55123832 399470351
1787935513 6.29 55124506 399472533
1787935515 6.29 55125716 399474264
1787935517 6.29 55126964 399475997
1787935519 6.11 55128237 399477686
1787935521 6.11 55129057 399479775
1787935523 5.94 55129859 399481631
1787935525 5.94 55130832 399483279
1787935527 5.94 55131798 399484940
1787935529 5.78 55132783 399486564
1787935531 5.78 55133303 399488742
1787935533 5.72 55134323 399490276
1787935535 5.72 55135371 399491776
1787935537 5.72 55136454 399493249
1787935539 5.58 55137216 399495123
1787935541 5.58 55138437 399496952
1787935543 5.69 55139977 399498534
1787935545 5.69 55141544 399500091
1787935547 5.69 55143078 399501689
1787935549 5.88 55143785 399503848
1787935551 5.88 55144926 399505401
1787935553 6.13 55146048 399506966
1787935555 6.13 55147124 399508564
1787935557 6.13 55147952 399510435
1787935559 5.64 55148909 399512201
1787935561 5.64 55150256 399513544
1787935563 5.75 55151557 399514926
1787935565 5.75 55152857 399516338
1787935567 5.75 55153478 399518424
1787935569 5.61 55154504 399519878
1787935571 5.61 55155573 399521295
1787935573 5.48 55156585 399522771
1787935575 5.48 55157415 399524479
1787935577 5.48 55158186 399526356
1787935579 5.60 55159292 399527819
1787935581 5.60 55160500 399529224
1787935583 5.95 55161619 399530671
1787935585 5.95 55162231 399532722
1787935587 5.95 55163307 399533986
1787935589 5.80 55164352 399535262
1787935591 5.80 55165440 399536513
1787935593 5.73 55166414 399537938
1787935595 5.73 55167095 399539806
1787935597 5.73 55168316 399540992
1787935599 5.67 55169399 399542278
1787935601 5.67 55170553 399543519
1787935603 5.22 55171201 399545544
1787935605 5.22 55173166 399546761
1787935607 5.22 55175098 399547997
1787935609 5.92 55177056 399549226
1787935611 5.92 55178858 399550572
1787935613 6.33 55179729 399552287
1787935615 6.33 55181106 399553273
1787935617 6.33 55182539 399554231
1787935619 6.62 55183935 399555191
1787935621 6.62 55184658 399557073
1787935623 7.21 55186549 399558003
1787935625 7.21 55188429 399558954
1787935627 7.21 55190296 399559916
1787935629 7.76 55192072 399560958
1787935631 7.76 55193097 399562820
1787935633 8.10 55195089 399563772
1787935635 8.10 55197034 399564766
1787935637 8.57 55199004 399565730
1787935639 8.57 55200017 399567584
1787935641 8.57 55202148 399568278
1787935643 9.17 55204334 399568903
1787935645 9.17 55206523 399569541
1787935647 9.79 55208680 399570177
1787935649 9.79 55209773 399571839
1787935651 9.79 55212074 399572266
1787935653 10.29 55214368 399572699
1787935655 10.29 55216660 399573140
1787935657 9.47 55218021 399574531
1787935659 9.47 55219533 399575921
1787935661 9.47 55221194 399577176
1787935663 9.99 55222900 399578419
1787935665 9.99 55224586 399579660
1787935667 9.51 55225165 399581694
1787935669 9.51 55226171 399582969
1787935671 9.51 55227211 399584218
1787935673 9.31 55228231 399585484
1787935675 9.31 55228938 399587270
1787935677 9.60 55230473 399588729
1787935679 9.60 55232244 399589989
1787935681 9.60 55234004 399591235
1787935683 9.39 55235765 399592506
