rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	4.00	4.00	yes
2	1	0.0000	0.0000	8.00	8.00	yes
3	1	0.0000	0.0000	12.00	12.00	yes
5	1	0.0000	0.0000	20.00	20.00	yes
8	1	0.0000	0.0000	32.00	31.99	yes
12	1	0.0000	0.0000	47.99	47.99	yes
20	3	0.0000	0.0700,0.0000,0.0000	79.99	79.96	yes
30	3	0.0140	0.0467,0.0000,0.0140	119.99	119.95	yes
45	3	0.1058	0.1058,0.0809,0.4107	179.97	179.68	yes
70	3	1.7442	0.8801,1.7982,1.7442	279.96	276.59	no
110	1	25.7488	25.7488	439.94	379.37	no
160	1	49.0781	49.0781	639.91	402.19	no
