rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	2.00	2.00	yes
2	1	0.0000	0.0000	4.00	4.00	yes
3	1	0.0000	0.0000	6.00	6.00	yes
5	1	0.0000	0.0000	10.00	10.00	yes
8	1	0.0000	0.0000	16.00	16.00	yes
12	1	0.0000	0.0000	24.00	24.00	yes
20	1	0.0000	0.0000	39.99	39.99	yes
30	1	0.0000	0.0000	59.99	59.99	yes
45	3	0.2489	0.3111,0.2489,0.0000	89.99	89.82	yes
70	3	0.3840	0.5961,0.3840,0.0780	139.98	139.49	yes
110	3	0.4353	1.3187,0.4353,0.2049	219.96	218.55	yes
160	3	0.7543	1.8456,0.7088,0.7543	319.95	316.54	no
240	1	24.5592	24.5592	479.93	386.37	no
