kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789816740.494549659	1789816748.525805996	0.0000	999.9	999.7
2	1	1789816749.626097279	1789816757.656829953	0.0000	1999.8	1999.4
3	1	1789816758.743920109	1789816766.770121349	0.0000	2999.6	2999.2
5	1	1789816767.854633804	1789816775.880612044	0.0000	4999.3	4998.7
8	1	1789816776.999166724	1789816785.027700533	0.0000	7998.9	7997.3
12	1	1789816786.111350447	1789816794.136780804	0.0000	11997.8	11996.0
20	1	1789816795.222754049	1789816803.252544512	0.0131	19996.9	19993.3
20	2	1789816804.290302857	1789816812.312690030	0.0044	19996.7	19993.8
20	3	1789816813.349575585	1789816821.378890710	0.0106	19996.7	19993.3
30	1	1789816822.462414413	1789816830.491065020	0.3325	29994.9	29989.5
30	2	1789816831.525996809	1789816839.553330412	0.0992	29994.9	29988.1
30	3	1789816840.587132215	1789816848.613454835	0.7617	29995.1	29990.8
45	1	1789816849.698640005	1789816857.726754041	5.5611	44993.9	44987.0
70	1	1789816858.830214885	1789816866.857180911	34.1289	69990.3	69977.8
110	1	1789816867.959075445	1789816875.984325368	53.1407	109982.6	109953.8
30	c1	1789816877.066277370	1789816885.095201855	0.0983	29994.9	29991.2
30	c2	1789816886.132169201	1789816894.157518890	0.0888	29994.8	29989.5
30	c3	1789816895.191603523	1789816903.223091107	0.1917	29995.2	29991.4
