rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	4.00	4.00	yes
2	1	0.0000	0.0000	8.00	8.00	yes
3	1	0.0000	0.0000	12.00	12.00	yes
5	1	0.0000	0.0000	20.00	20.00	yes
8	1	0.0000	0.0000	32.00	31.99	yes
12	3	0.0000	0.0233,0.0000,0.0000	47.99	47.99	yes
20	3	0.0280	0.0280,0.0560,0.0000	79.99	79.97	yes
30	3	0.1213	0.0280,0.9521,0.1213	119.99	119.56	yes
45	3	1.1481	1.1481,1.1232,1.7922	179.98	177.64	no
70	1	9.2649	9.2649	279.96	256.50	no
110	1	32.8717	32.8717	439.93	357.41	no
160	1	57.4213	57.4213	639.91	411.83	no
