rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	19.99	yes	no
30	1	0.0000	0.0000	30.00	29.99	yes	no
45	1	0.0000	0.0000	44.99	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.99	yes	no
110	1	24.5319	24.5319	109.98	81.47	no	no
160	1	49.4693	49.4693	159.98	79.37	no	no
240	1	65.8450	65.8450	239.97	80.45	no	no
