1787920002 6.66 53271978 379784467
1787920004 6.77 53272846 379786389
1787920006 6.77 53274614 379787426
1787920008 6.77 53276390 379788458
1787920010 6.87 53278173 379789476
1787920012 6.87 53279197 379791249
1787920014 7.12 53280921 379792328
1787920016 7.12 53282933 379793108
1787920018 7.12 53284953 379793886
1787920020 7.51 53286909 379794724
1787920022 7.51 53287921 379796490
1787920024 8.03 53289892 379797282
1787920026 8.03 53291853 379798080
1787920028 8.03 53293775 379798909
1787920030 8.27 53295434 379800015
1787920032 8.27 53297231 379800977
1787920034 8.65 53299424 379801537
1787920036 8.65 53301555 379802158
1787920038 8.65 53303675 379802777
1787920040 8.03 53304715 379804511
1787920042 8.03 53306960 379805055
1787920044 8.11 53309123 379805677
1787920046 8.11 53311294 379806285
1787920048 8.11 53312926 379807438
1787920050 8.58 53314522 379808604
1787920052 8.58 53316687 379809200
1787920054 9.50 53318888 379809762
1787920056 9.50 53321011 379810392
1787920058 9.50 53322042 379812135
1787920060 10.66 53324268 379812640
1787920062 10.66 53326452 379813181
1787920064 10.77 53328728 379813637
1787920066 10.77 53330627 379814475
1787920068 10.77 53332130 379815757
1787920070 10.87 53334535 379816161
1787920072 10.87 53336868 379816643
1787920074 12.00 53339215 379817096
1787920076 12.00 53340377 379818714
1787920078 12.00 53342539 379819237
1787920080 12.32 53344788 379819696
1787920082 12.32 53346976 379820190
1787920084 12.69 53349294 379820611
1787920086 12.69 53350529 379822099
1787920088 12.69 53352848 379822467
1787920090 12.96 53355181 379822829
1787920092 12.96 53357622 379823118
1787920094 12.24 53359014 379824471
1787920096 12.24 53361470 379824829
1787920098 12.24 53364019 379825083
1787920100 12.70 53366561 379825347
1787920102 12.70 53369093 379825621
1787920104 12.97 53370168 379827334
1787920106 12.97 53372720 379827542
1787920108 12.97 53375269 379827750
1787920110 15.45 53377835 379827946
1787920112 15.45 53379607 379828937
1787920114 15.74 53381767 379829566
1787920116 15.74 53384378 379829736
1787920118 15.74 53386987 379829911
1787920120 17.04 53389630 379830067
1787920122 17.04 53390600 379831881
1787920124 17.12 53392617 379832560
1787920126 17.12 53394707 379833160
1787920128 17.12 53396849 379833727
1787920130 17.99 53398605 379834685
1787920132 17.99 53399948 379836102
1787920134 17.67 53402093 379836703
1787920136 17.67 53404294 379837234
1787920138 17.67 53406432 379837848
1787920140 17.78 53407463 379839579
1787920142 17.78 53409544 379840175
1787920144 18.27 53411564 379840822
1787920146 18.27 53413664 379841398
