kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.6	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.4	yes
5	1	0.0000	0.0000	4999.2	4998.9	yes
8	1	0.0000	0.0000	7998.8	7997.9	yes
12	3	0.1136	0.1136,0.1740,0.0260	11998.1	11996.7	yes
20	3	0.1625	0.1325,0.1625,0.6051	19996.8	19991.3	yes
30	3	1.0535	1.0810,0.4471,1.0535	29995.2	29991.3	no
45	1	17.3980	17.3980	44993.5	44987.9	no
70	1	41.6429	41.6429	69990.2	69978.3	no
110	1	60.3867	60.3867	109985.3	109976.2	no
