kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789818322.452800443	1789818330.476882636	0.0000	1000.0	999.8
2	1	1789818331.570340189	1789818339.592475215	0.0000	1999.8	1999.6
3	1	1789818340.678407370	1789818348.704850753	0.0000	2999.6	2999.4
5	1	1789818349.797718363	1789818357.825992185	0.0000	4999.2	4998.3
8	1	1789818358.923355371	1789818366.952242788	0.0000	7998.7	7997.6
12	1	1789818368.035291911	1789818376.058428518	0.0000	11998.0	11996.5
20	1	1789818377.144637267	1789818385.172530275	0.0069	19996.7	19993.5
20	2	1789818386.206680618	1789818394.237311869	0.0038	19996.4	19992.2
20	3	1789818395.270907303	1789818403.297267954	0.0013	19996.8	19995.1
30	1	1789818404.380480822	1789818412.411410656	0.0338	29994.6	29988.1
30	2	1789818413.446132202	1789818421.474682513	0.3667	29995.0	29990.1
30	3	1789818422.509774973	1789818430.541256088	0.1946	29995.2	29991.1
45	1	1789818431.633516517	1789818439.660346398	9.9214	44992.3	44980.6
70	1	1789818440.752297370	1789818448.773913577	30.6465	69989.3	69977.4
110	1	1789818449.868043355	1789818457.895683765	51.2003	109985.5	109965.2
30	c1	1789818458.974859237	1789818467.001402460	0.0633	29995.1	29991.6
30	c2	1789818468.046736046	1789818476.077245468	0.1142	29994.6	29989.7
30	c3	1789818477.115003604	1789818485.144671234	0.0588	29995.6	29984.5
