epoch	up	enabled	admin_disabled	edges_down	util_max	down_names
1788101567	10	10	0	0	0.0	none
1788101577	10	10	0	0	0.0	none
1788101587	10	10	0	0	0.0	none
1788101597	10	10	0	0	0.0	none
1788101607	10	10	0	0	0.0	none
1788101617	10	10	0	0	0.0	none
1788101627	10	10	0	0	0.0	none
1788101638	10	10	0	0	0.0	none
1788101648	10	10	0	0	0.0	none
1788101658	10	10	0	0	0.0	none
1788101668	10	10	0	0	0.0	none
1788101678	10	10	0	0	0.0	none
1788101688	10	10	0	0	0.0	none
1788101698	10	10	0	0	0.0	none
1788101708	10	10	0	0	0.0	none
1788101718	10	10	0	0	0.0	none
1788101728	10	10	0	0	0.0	none
1788101738	10	10	0	0	0.0	none
1788101748	10	10	0	0	0.0	none
1788101758	10	10	0	0	0.0	none
1788101769	10	10	0	0	0.0	none
1788101779	10	10	0	0	0.0	none
1788101789	10	10	0	0	0.0	none
1788101799	10	10	0	0	0.0	none
1788101809	10	10	0	0	0.0	none
