rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	8.01	8.01	yes
2	1	0.0000	0.0000	16.00	16.00	yes
3	1	0.0000	0.0000	24.00	23.99	yes
5	1	0.0000	0.0000	40.00	39.98	yes
8	3	0.0175	0.0175,0.0175,0.9100	63.99	63.80	yes
12	3	0.7467	0.4317,0.7700,0.7467	95.99	95.45	no
20	1	7.6024	7.6024	159.99	149.19	no
30	1	30.2562	30.2562	239.98	171.73	no
45	1	55.1929	55.1929	359.94	165.75	no
