epoch	up	enabled	admin_disabled	edges_down	util_max	down_names
1788099997	10	10	0	0	0.0	none
1788100007	10	10	0	0	0.0	none
1788100017	10	10	0	0	0.0	none
1788100027	10	10	0	0	0.0	none
1788100037	10	10	0	0	0.0	none
1788100047	10	10	0	0	0.0	none
1788100057	10	10	0	0	0.0	none
1788100067	10	10	0	0	0.0	none
1788100077	10	10	0	0	0.0	none
1788100087	10	10	0	0	0.0	none
1788100097	10	10	0	0	0.0	none
1788100108	10	10	0	0	0.0	none
1788100118	10	10	0	0	0.0	none
1788100128	10	10	0	0	0.0	none
1788100138	10	10	0	0	0.0	none
1788100148	10	10	0	0	0.0	none
1788100158	10	10	0	0	0.0	none
1788100168	10	10	0	0	0.0	none
1788100178	10	10	0	0	0.0	none
1788100188	10	10	0	0	0.0	none
1788100198	10	10	0	0	0.0	none
1788100208	10	10	0	0	0.0	none
1788100218	10	10	0	0	0.0	none
1788100228	10	10	0	0	0.0	none
1788100239	10	10	0	0	0.0	none
