-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.17, port 38164
[  8] local 10.0.0.49 port 5201 connected to 10.0.0.17 port 45981
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]  54.00-55.00  sec  2.37 MBytes  19.9 Mbits/sec  0.657 ms  14/1790 (0.78%)  
[  8]  55.00-56.00  sec  2.23 MBytes  18.7 Mbits/sec  0.801 ms  97/1768 (5.5%)  
[  8]  56.00-57.00  sec  2.38 MBytes  19.9 Mbits/sec  0.899 ms  16/1797 (0.89%)  
[  8]  57.00-58.00  sec  2.35 MBytes  19.7 Mbits/sec  0.852 ms  32/1789 (1.8%)  
[  8]  58.00-59.00  sec  2.37 MBytes  19.9 Mbits/sec  0.686 ms  15/1790 (0.84%)  
[  8]  59.00-60.00  sec  2.36 MBytes  19.8 Mbits/sec  0.735 ms  18/1782 (1%)  
[  8]  60.00-60.02  sec  15.0 KBytes  8.23 Mbits/sec  0.948 ms  0/11 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-60.02  sec   142 MBytes  19.8 Mbits/sec  0.948 ms  902/107142 (0.84%)  receiver
