-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.21, port 47162
[  8] local 10.0.0.53 port 5201 connected to 10.0.0.21 port 54266
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]  57.00-58.00  sec   595 KBytes  4.87 Mbits/sec  1.916 ms  12/447 (2.7%)  
[  8]  58.00-59.00  sec   599 KBytes  4.91 Mbits/sec  1.280 ms  5/443 (1.1%)  
[  8]  59.00-60.00  sec   606 KBytes  4.96 Mbits/sec  1.207 ms  5/448 (1.1%)  
[  8]  60.00-61.00  sec   584 KBytes  4.78 Mbits/sec  1.786 ms  19/446 (4.3%)  
[  8]  61.00-62.00  sec   608 KBytes  4.99 Mbits/sec  1.519 ms  3/448 (0.67%)  
[  8]  62.00-63.00  sec   611 KBytes  5.01 Mbits/sec  1.402 ms  0/447 (0%)  
[  8]  63.00-64.00  sec   592 KBytes  4.85 Mbits/sec  2.129 ms  12/445 (2.7%)  
[  8]  64.00-65.00  sec   602 KBytes  4.93 Mbits/sec  1.349 ms  6/446 (1.3%)  
[  8]  65.00-66.00  sec   608 KBytes  4.98 Mbits/sec  1.521 ms  2/447 (0.45%)  
[  8]  66.00-67.00  sec   608 KBytes  4.97 Mbits/sec  1.992 ms  4/449 (0.89%)  
[  8]  67.00-68.00  sec   607 KBytes  4.99 Mbits/sec  1.416 ms  0/444 (0%)  
[  8]  68.00-69.00  sec   608 KBytes  4.98 Mbits/sec  1.264 ms  2/447 (0.45%)  
[  8]  69.00-70.00  sec   606 KBytes  4.96 Mbits/sec  2.208 ms  5/448 (1.1%)  
[  8]  70.00-70.01  sec  2.73 KBytes  4.39 Mbits/sec  1.953 ms  0/2 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-70.01  sec  41.2 MBytes  4.93 Mbits/sec  1.953 ms  404/31250 (1.3%)  receiver
