kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789816124.747945160	1789816132.777696669	0.0000	999.9	999.7
2	1	1789816133.862377902	1789816141.889795877	0.0000	1999.8	1999.4
3	1	1789816142.972401472	1789816151.000649223	0.0000	2999.6	2999.2
5	1	1789816152.102725951	1789816160.126547937	0.0000	4999.2	4998.8
8	1	1789816161.210266452	1789816169.234833751	0.0000	7998.7	7997.8
12	1	1789816170.315606436	1789816178.343838142	0.0000	11998.0	11995.7
20	1	1789816179.427934788	1789816187.450729905	0.0144	19997.1	19994.8
20	2	1789816188.488079127	1789816196.510753963	0.0213	19996.9	19994.4
20	3	1789816197.548239835	1789816205.572406734	0.0513	19997.0	19993.8
30	1	1789816206.655976580	1789816214.683811802	0.3988	29995.5	29989.7
30	2	1789816215.714456617	1789816223.738278856	0.2004	29995.1	29992.1
30	3	1789816224.772689935	1789816232.794651832	0.4446	29995.6	29991.6
45	1	1789816233.887603178	1789816241.916933619	5.6545	44992.8	44984.6
70	1	1789816243.007137111	1789816251.037702884	30.4037	69989.0	69976.0
110	1	1789816252.138993573	1789816260.166536227	53.6458	109984.8	109961.9
30	c1	1789816261.247707357	1789816269.271821445	0.2634	29996.1	29991.9
30	c2	1789816270.306961634	1789816278.332945098	0.2596	29994.8	29991.7
30	c3	1789816279.368731229	1789816287.396053128	0.1846	29994.7	29989.8
