kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789819535.463089491	1789819543.492665394	0.0000	999.9	999.8
2	1	1789819544.577280857	1789819552.598713614	0.0000	1999.8	1999.5
3	1	1789819553.681439759	1789819561.706760890	0.0000	2999.6	2999.2
5	1	1789819562.787335521	1789819570.809408351	0.0000	4999.2	4998.7
8	1	1789819571.896842050	1789819579.921689510	0.0000	7998.6	7997.6
12	1	1789819580.999377423	1789819589.027106249	0.0000	11997.9	11996.3
20	1	1789819590.119842708	1789819598.144380780	0.0300	19996.7	19994.4
20	2	1789819599.180502945	1789819607.206384998	0.0163	19996.5	19993.8
20	3	1789819608.239731322	1789819616.267391355	0.0381	19996.5	19993.0
30	1	1789819617.353017356	1789819625.382098885	0.1571	29994.8	29990.1
30	2	1789819626.414932337	1789819634.439675266	0.1525	29995.1	29989.3
30	3	1789819635.473301059	1789819643.492790512	0.3859	29995.1	29992.7
45	1	1789819644.578315378	1789819652.603265094	12.2722	44993.2	44987.1
70	1	1789819653.700811518	1789819661.731125982	28.7033	69989.0	69972.4
110	1	1789819662.823055854	1789819670.849599474	47.6218	109985.0	109960.0
30	c1	1789819671.925096324	1789819679.954781354	1.1230	29994.9	29990.6
30	c2	1789819680.990509730	1789819689.015831654	0.1875	29995.6	29991.1
30	c3	1789819690.049515937	1789819698.077885363	0.0825	29995.2	29991.2
