kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.5	yes
3	1	0.0000	0.0000	2999.6	2999.2	yes
5	1	0.0000	0.0000	4999.2	4998.7	yes
8	1	0.0000	0.0000	7998.6	7997.6	yes
12	1	0.0000	0.0000	11997.9	11996.3	yes
20	3	0.0300	0.0300,0.0163,0.0381	19996.6	19993.7	yes
30	3	0.1571	0.1571,0.1525,0.3859	29995.0	29990.7	yes
45	1	12.2722	12.2722	44993.2	44987.1	no
70	1	28.7033	28.7033	69989.0	69972.4	no
110	1	47.6218	47.6218	109985.0	109960.0	no
