kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.7	2999.3	yes
5	1	0.0000	0.0000	4999.2	4998.3	yes
8	3	0.0484	0.0484,0.1219,0.0000	7998.7	7998.0	yes
12	3	0.0198	0.0198,0.1042,0.0000	11997.9	11996.0	yes
20	3	0.2532	0.2532,0.2619,0.0000	19996.6	19994.1	yes
30	3	0.7726	0.7726,1.4918,0.3025	29995.2	29992.1	no
45	1	8.7265	8.7265	44993.9	44988.0	no
70	1	31.9529	31.9529	69989.6	69980.1	no
110	1	56.4696	56.4696	109985.0	109970.6	no
