kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789823255.556163774	1789823263.575673606	0.0000	999.9	999.8
2	1	1789823264.662217241	1789823272.680798302	0.0000	1999.8	1999.6
3	1	1789823273.766064312	1789823281.790668073	0.0000	2999.7	2999.3
5	1	1789823282.898978912	1789823290.921033222	0.0000	4999.2	4998.3
8	1	1789823292.014746646	1789823300.035393907	0.0484	7998.7	7998.0
8	2	1789823301.072908135	1789823309.093008956	0.1219	7998.7	7998.0
8	3	1789823310.129606843	1789823318.152260239	0.0000	7998.6	7997.9
12	1	1789823319.240893552	1789823327.267742732	0.0198	11997.9	11995.5
12	2	1789823328.304602018	1789823336.329044600	0.1042	11998.0	11996.3
12	3	1789823337.363618922	1789823345.394856846	0.0000	11997.9	11996.3
20	1	1789823346.485136990	1789823354.509072184	0.2532	19996.6	19994.7
20	2	1789823355.545081999	1789823363.573991899	0.2619	19996.8	19994.1
20	3	1789823364.607196717	1789823372.630313444	0.0000	19996.5	19993.4
30	1	1789823373.718535862	1789823381.746630647	0.7726	29995.3	29990.3
30	2	1789823382.793276074	1789823390.808868120	1.4918	29995.1	29993.2
30	3	1789823391.840992942	1789823399.866491070	0.3025	29995.1	29992.7
45	1	1789823400.951068543	1789823408.973854545	8.7265	44993.9	44988.0
70	1	1789823410.077692586	1789823418.103721082	31.9529	69989.6	69980.1
110	1	1789823419.209879546	1789823427.229467695	56.4696	109985.0	109970.6
20	c1	1789823428.305616034	1789823436.331214915	0.5276	19996.6	19993.7
20	c2	1789823437.375740392	1789823445.397575753	0.8063	19996.7	19994.8
20	c3	1789823446.430847268	1789823454.452318799	0.0000	19996.7	19993.3
12	c1	1789823455.487248932	1789823463.516758911	0.5917	11998.0	11994.6
12	c2	1789823464.559303086	1789823472.584458397	0.0781	11997.9	11996.3
12	c3	1789823473.620182407	1789823481.650102274	0.0094	11997.9	11995.9
