kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789822450.536301843	1789822458.562614436	0.0000	1000.0	999.8
2	1	1789822459.656101282	1789822467.684048231	0.0000	1999.7	1999.5
3	1	1789822468.770979068	1789822476.800507867	0.0000	2999.6	2999.1
5	1	1789822477.883508459	1789822485.906991658	0.0000	4999.2	4998.8
8	1	1789822486.998336263	1789822495.021265770	0.0000	7998.8	7997.9
12	1	1789822496.104489021	1789822504.128764950	0.0000	11998.1	11996.7
20	1	1789822505.212746834	1789822513.238754950	0.0181	19996.7	19994.8
20	2	1789822514.274125672	1789822522.304886523	0.4457	19997.8	19991.0
20	3	1789822523.338660299	1789822531.357940168	1.0620	19997.0	19994.6
30	1	1789822532.480696577	1789822540.506307599	0.3800	29995.3	29991.9
30	2	1789822541.539802028	1789822549.562480882	0.3509	29995.6	29990.6
30	3	1789822550.594737523	1789822558.619025983	0.5792	29995.2	29990.5
45	1	1789822559.721255260	1789822567.747103890	5.7851	44993.2	44987.7
70	1	1789822568.838397908	1789822576.861823791	31.4243	69988.4	69977.9
110	1	1789822577.967477522	1789822585.993537288	50.7688	109984.5	109959.4
30	c1	1789822587.069616350	1789822595.095337652	0.1725	29995.1	29991.1
30	c2	1789822596.131018713	1789822604.159704892	0.0888	29994.7	29989.0
30	c3	1789822605.192351292	1789822613.220375445	0.3525	29994.6	29990.1
