1787918516 1.40 52892882 378123417
1787918518 1.40 52893417 378125811
1787918520 1.77 52894333 378127981
1787918522 1.77 52894800 378130229
1787918524 1.77 52895311 378132355
1787918526 1.79 52895640 378134737
1787918528 1.79 52896112 378136904
1787918530 1.97 52896689 378139117
1787918532 1.97 52897753 378140868
1787918534 1.97 52898208 378143033
1787918536 1.97 52898687 378144934
1787918538 1.97 52899031 378147204
1787918540 2.29 52899608 378149071
1787918542 2.29 52900149 378151155
1787918544 2.43 52900706 378153061
1787918546 2.43 52901034 378155314
1787918548 2.43 52901487 378157210
1787918550 2.24 52902226 378159418
1787918552 2.24 52903814 378161283
