rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	20.00	yes	no
30	1	0.0000	0.0000	30.00	30.00	yes	no
45	1	0.0000	0.0000	45.00	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.99	yes	no
110	1	0.0000	0.0000	109.99	109.98	yes	no
160	3	0.0000	0.0079,0.0000,0.0000	159.98	159.96	yes	no
240	3	0.0047	0.0047,0.0006,0.0140	239.97	239.94	yes	no
360	1	26.1133	26.1133	359.95	264.52	no	no
540	1	50.8961	50.8961	539.92	263.69	no	no
