kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789820812.623379016	1789820820.643524428	0.0000	1000.0	999.8
2	1	1789820822.139302792	1789820830.156822152	0.0000	1999.8	1999.6
3	1	1789820831.647970390	1789820839.676307753	0.0000	2999.6	2999.1
5	1	1789820841.167831011	1789820849.192999143	0.0000	4999.2	4998.3
8	1	1789820850.697846783	1789820858.722591952	0.1016	7998.7	7997.7
8	2	1789820859.759772876	1789820867.782818914	0.0016	7998.7	7997.5
8	3	1789820868.820090860	1789820876.841220471	0.2391	7998.8	7997.9
12	1	1789820878.340828121	1789820886.366200444	0.1042	11998.1	11997.1
12	2	1789820887.400746182	1789820895.429983726	0.1198	11997.4	11995.6
12	3	1789820896.471318941	1789820904.497855923	0.0031	11998.0	11996.5
20	1	1789820906.008174286	1789820914.038141683	0.0563	19996.7	19993.9
20	2	1789820915.080266156	1789820923.106319138	0.0569	19996.7	19993.8
20	3	1789820924.143659188	1789820932.168822464	0.6107	19996.8	19994.9
30	1	1789820933.691056664	1789820941.711859068	0.0925	29995.2	29992.2
30	2	1789820942.748409639	1789820950.772615800	0.0717	29995.3	29991.0
30	3	1789820951.805277346	1789820959.827070770	1.6326	29996.1	29990.2
45	1	1789820961.357888666	1789820969.382186651	17.2314	44993.2	44981.1
70	1	1789820970.895875340	1789820978.927625560	39.7908	69988.6	69920.1
110	1	1789820980.455120058	1789820988.481862204	54.5479	109991.1	109958.0
30	c1	1789820989.770987417	1789820997.790752317	0.5046	29995.3	29992.6
30	c2	1789820998.827494763	1789821006.849752162	1.6543	29995.1	29991.3
30	c3	1789821007.891115153	1789821015.913944534	1.1589	29994.2	29985.8
20	c1	1789821016.962602149	1789821024.983849911	2.2540	19996.8	19995.0
20	c2	1789821026.033669476	1789821034.058300909	0.5507	19996.8	19993.6
20	c3	1789821035.093645419	1789821043.123843177	1.6439	19994.8	19985.9
12	c1	1789821044.191793469	1789821052.215156135	1.0064	11998.0	11996.7
12	c2	1789821053.378878834	1789821061.401035949	0.0000	11998.2	11996.1
12	c3	1789821062.436523770	1789821070.462158422	0.4240	11998.0	11995.7
