rate_mbit	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
240	3	0.1085	0.1085,0.1727,0.0951	21425.3	21424.8	yes
360	3	0.4850	0.4850,0.4418,0.5429	32137.7	32136.9	yes
540	1	23.0662	23.0662	48206.3	48204.0	no
