kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.9	yes
2	1	0.0000	0.0000	1999.8	1999.5	yes
3	1	0.0000	0.0000	2999.6	2999.4	yes
5	1	0.0000	0.0000	4999.3	4998.6	yes
8	1	0.0000	0.0000	7998.7	7997.8	yes
12	1	0.0000	0.0000	11997.9	11996.2	yes
20	3	0.0419	0.0006,0.6644,0.0419	19997.0	19994.1	yes
30	3	0.0921	0.0921,0.0796,0.1204	29995.2	29991.1	yes
45	1	6.3340	6.3340	44993.7	44986.4	no
70	1	27.7340	27.7340	69990.4	69976.7	no
110	1	51.7637	51.7637	109991.2	109962.9	no
