epoch	p920	p921	p922
1788095004.489	0/0	0/0	0/0
1788095004.530	0/0	0/0	0/0
1788095004.572	0/0	0/0	0/0
1788095004.613	0/0	0/0	0/0
1788095004.654	0/0	0/0	0/0
1788095004.696	0/0	0/0	0/0
1788095004.737	0/0	0/0	0/0
1788095004.778	0/0	0/0	0/0
1788095004.819	0/0	0/0	0/0
1788095004.861	0/0	0/0	0/0
1788095004.903	0/0	0/0	0/0
1788095004.945	0/0	0/0	0/0
1788095004.993	0/0	0/0	0/0
1788095005.035	0/0	0/0	0/0
1788095005.078	0/0	0/0	0/0
1788095005.120	0/0	0/0	0/0
1788095005.161	0/0	0/0	0/0
1788095005.202	0/0	0/0	0/0
1788095005.247	0/0	0/0	0/0
1788095005.288	0/0	0/0	0/0
1788095005.350	0/0	0/0	0/0
1788095005.391	0/0	0/0	0/0
1788095005.432	0/0	0/0	0/0
1788095005.472	0/0	0/0	0/0
1788095005.514	0/0	0/0	0/0
1788095005.553	0/0	0/0	0/0
1788095005.594	0/0	0/0	0/0
1788095005.633	0/0	0/0	0/0
1788095005.671	0/0	0/0	0/0
1788095005.709	0/0	0/0	0/0
1788095005.742	0/0	0/0	0/0
1788095005.770	0/0	0/0	0/0
1788095005.795	0/0	0/0	0/0
1788095005.817	0/0	0/0	0/0
1788095005.838	0/0	0/0	0/0
1788095005.857	0/0	0/0	0/0
1788095005.873	0/0	0/0	0/0
1788095005.889	0/0	0/0	0/0
1788095005.905	0/0	0/0	0/0
1788095005.921	0/0	0/0	0/0
1788095005.936	0/0	0/0	0/0
1788095005.952	0/0	0/0	0/0
1788095005.968	0/0	0/0	0/0
1788095005.986	0/0	0/0	0/0
1788095006.010	0/0	0/0	0/0
1788095006.038	0/0	0/0	0/0
1788095006.064	0/0	0/0	0/0
1788095006.092	0/0	0/0	0/0
1788095006.123	0/0	0/0	0/0
1788095006.155	0/0	0/0	0/0
1788095006.189	0/0	0/0	0/0
1788095006.225	0/0	0/0	0/0
1788095006.262	0/0	0/0	0/0
1788095006.340	0/0	0/0	0/0
1788095006.380	0/0	0/0	0/0
1788095006.421	0/0	0/0	0/0
1788095006.467	0/0	0/0	0/0
1788095006.513	0/0	0/0	0/0
1788095006.561	0/0	0/0	0/0
1788095006.605	0/0	0/0	0/0
1788095006.646	0/0	0/0	0/0
1788095006.690	0/0	0/0	0/0
1788095006.731	0/0	0/0	0/0
1788095006.772	0/0	0/0	0/0
1788095006.812	0/0	0/0	0/0
1788095006.854	0/0	0/0	0/0
1788095006.895	0/0	0/0	0/0
1788095006.937	0/0	0/0	0/0
1788095006.980	0/0	0/0	0/0
1788095007.037	0/0	0/0	0/0
1788095007.085	0/0	0/0	0/0
1788095007.127	0/0	0/0	0/0
1788095007.168	0/0	0/0	0/0
1788095007.209	0/0	0/0	0/0
1788095007.251	0/0	0/0	0/0
1788095007.294	0/0	0/0	0/0
1788095007.359	0/0	0/0	0/0
1788095007.402	0/0	0/0	0/0
1788095007.443	0/0	0/0	0/0
1788095007.484	0/0	0/0	0/0
1788095007.526	0/0	0/0	0/0
1788095007.568	0/0	0/0	0/0
1788095007.609	0/0	0/0	0/0
1788095007.650	0/0	0/0	0/0
1788095007.692	0/0	0/0	0/0
1788095007.734	0/0	0/0	0/0
1788095007.775	0/0	0/0	0/0
1788095007.824	0/0	0/0	0/0
1788095007.867	0/0	0/0	0/0
1788095007.909	0/0	0/0	0/0
1788095007.954	0/0	0/0	0/0
1788095007.994	0/0	0/0	0/0
1788095008.033	0/0	0/0	0/0
1788095008.071	0/0	0/0	0/0
1788095008.109	0/0	0/0	0/0
1788095008.148	0/0	0/0	0/0
1788095008.186	0/0	0/0	0/0
1788095008.224	0/0	0/0	0/0
1788095008.262	0/0	0/0	0/0
1788095008.302	0/0	0/0	0/0
1788095008.375	0/0	0/0	0/0
1788095008.417	0/0	0/0	0/0
1788095008.462	0/0	0/0	0/0
1788095008.503	0/0	0/0	0/0
1788095008.544	0/0	0/0	0/0
1788095008.588	0/0	0/0	0/0
1788095008.629	0/0	0/0	0/0
1788095008.669	0/0	0/0	0/0
1788095008.712	0/0	0/0	0/0
1788095008.756	0/0	0/0	0/0
1788095008.798	0/0	0/0	0/0
1788095008.842	0/0	0/0	0/0
1788095008.882	0/0	0/0	0/0
1788095008.924	0/0	0/0	0/0
1788095008.965	0/0	0/0	0/0
1788095009.009	0/0	0/0	0/0
1788095009.053	0/0	0/0	0/0
1788095009.096	0/0	0/0	0/0
1788095009.139	0/0	0/0	0/0
1788095009.180	0/0	0/0	0/0
1788095009.221	0/0	0/0	0/0
1788095009.265	0/0	0/0	0/0
1788095009.346	0/0	0/0	0/0
1788095009.389	0/0	0/0	0/0
1788095009.429	0/0	0/0	0/0
1788095009.469	0/0	0/0	0/0
1788095009.512	0/0	0/0	0/0
1788095009.553	0/0	0/0	0/0
1788095009.595	0/0	0/0	0/0
1788095009.635	0/0	0/0	0/0
1788095009.673	0/0	0/0	0/0
1788095009.714	0/0	0/0	0/0
1788095009.754	0/0	0/0	0/0
1788095009.793	0/0	0/0	0/0
1788095009.832	0/0	0/0	0/0
1788095009.873	0/0	0/0	0/0
1788095009.915	0/0	0/0	0/0
1788095009.956	0/0	0/0	0/0
1788095009.999	0/0	0/0	0/0
1788095010.045	0/0	0/0	0/0
