epoch	p920	p921	p922
1788095025.367	0/0	0/0	0/0
1788095025.390	0/0	0/0	0/0
1788095025.415	0/0	0/0	0/0
1788095025.441	0/0	0/0	0/0
1788095025.469	0/0	0/0	0/0
1788095025.501	0/0	0/0	0/0
1788095025.534	0/0	0/0	0/0
1788095025.585	0/0	0/0	0/0
1788095025.627	0/0	0/0	0/0
1788095025.669	0/0	0/0	0/0
1788095025.713	0/0	0/0	0/0
1788095025.756	0/0	0/0	0/0
1788095025.797	0/0	0/0	0/0
1788095025.840	0/0	0/0	0/0
1788095025.883	0/0	0/0	0/0
1788095025.926	0/0	0/0	0/0
1788095025.977	0/0	0/0	0/0
1788095026.028	0/0	0/0	0/0
1788095026.071	0/0	0/0	0/0
1788095026.113	0/0	0/0	0/0
1788095026.156	0/0	0/0	0/0
1788095026.199	0/0	0/0	0/0
1788095026.241	0/0	0/0	0/0
1788095026.285	0/0	0/0	0/0
1788095026.345	0/0	0/0	0/0
1788095026.385	0/0	0/0	0/0
1788095026.426	0/0	0/0	0/0
1788095026.468	0/0	0/0	0/0
1788095026.514	0/0	0/0	0/0
1788095026.556	0/0	0/0	0/0
1788095026.597	0/0	0/0	0/0
1788095026.638	0/0	0/0	0/0
1788095026.678	0/0	0/0	0/0
1788095026.725	0/0	0/0	0/0
1788095026.767	0/0	0/0	0/0
1788095026.809	0/0	0/0	0/0
1788095026.852	0/0	0/0	0/0
1788095026.893	0/0	0/0	0/0
1788095026.944	0/0	0/0	0/0
1788095026.992	0/0	0/0	0/0
1788095027.034	0/0	0/0	0/0
1788095027.084	0/0	0/0	0/0
1788095027.125	0/0	0/0	0/0
1788095027.166	0/0	0/0	0/0
1788095027.206	0/0	0/0	0/0
1788095027.251	0/0	0/0	0/0
1788095027.293	0/0	0/0	0/0
1788095027.357	0/0	0/0	0/0
1788095027.405	0/0	0/0	0/0
1788095027.448	0/0	0/0	0/0
1788095027.489	0/0	0/0	0/0
1788095027.530	0/0	0/0	0/0
1788095027.572	0/0	0/0	0/0
1788095027.614	0/0	0/0	0/0
1788095027.665	0/0	0/0	0/0
1788095027.706	0/0	0/0	0/0
1788095027.747	0/0	0/0	0/0
1788095027.792	0/0	0/0	0/0
1788095027.833	0/0	0/0	0/0
1788095027.873	0/0	0/0	0/0
1788095027.915	0/0	0/0	0/0
1788095027.969	0/0	0/0	0/0
1788095028.011	0/0	0/0	0/0
1788095028.054	0/0	0/0	0/0
1788095028.095	0/0	0/0	0/0
1788095028.136	0/0	0/0	0/0
1788095028.180	0/0	0/0	0/0
1788095028.220	0/0	0/0	0/0
1788095028.261	0/0	0/0	0/0
1788095028.343	0/0	0/0	0/0
1788095028.385	0/0	0/0	0/0
1788095028.426	0/0	0/0	0/0
1788095028.467	0/0	0/0	0/0
1788095028.509	0/0	0/0	0/0
1788095028.550	0/0	0/0	0/0
1788095028.591	0/0	0/0	0/0
1788095028.631	0/0	0/0	0/0
1788095028.675	0/0	0/0	0/0
1788095028.717	0/0	0/0	0/0
1788095028.758	0/0	0/0	0/0
1788095028.800	0/0	0/0	0/0
1788095028.842	0/0	0/0	0/0
1788095028.882	0/0	0/0	0/0
1788095028.923	0/0	0/0	0/0
1788095028.971	0/0	0/0	0/0
1788095029.017	0/0	0/0	0/0
1788095029.063	0/0	0/0	0/0
1788095029.104	0/0	0/0	0/0
1788095029.146	0/0	0/0	0/0
1788095029.198	0/0	0/0	0/0
1788095029.242	0/0	0/0	0/0
1788095029.292	0/0	0/0	0/0
1788095029.355	0/0	0/0	0/0
1788095029.398	0/0	0/0	0/0
1788095029.439	0/0	0/0	0/0
1788095029.483	0/0	0/0	0/0
1788095029.522	0/0	0/0	0/0
1788095029.560	0/0	0/0	0/0
1788095029.600	0/0	0/0	0/0
1788095029.644	0/0	0/0	0/0
1788095029.685	0/0	0/0	0/0
1788095029.727	0/0	0/0	0/0
1788095029.770	0/0	0/0	0/0
1788095029.812	0/0	0/0	0/0
1788095029.854	0/0	0/0	0/0
1788095029.895	0/0	0/0	0/0
1788095029.940	0/0	0/0	0/0
1788095029.988	0/0	0/0	0/0
1788095030.042	0/0	0/0	0/0
1788095030.096	0/0	0/0	0/0
1788095030.145	0/0	0/0	0/0
1788095030.188	0/0	0/0	0/0
1788095030.232	0/0	0/0	0/0
1788095030.273	0/0	0/0	0/0
1788095030.335	0/0	0/0	0/0
1788095030.378	0/0	0/0	0/0
1788095030.425	0/0	0/0	0/0
1788095030.467	0/0	0/0	0/0
1788095030.509	0/0	0/0	0/0
1788095030.556	0/0	0/0	0/0
1788095030.601	0/0	0/0	0/0
1788095030.642	0/0	0/0	0/0
1788095030.683	0/0	0/0	0/0
1788095030.722	0/0	0/0	0/0
1788095030.766	0/0	0/0	0/0
1788095030.807	0/0	0/0	0/0
1788095030.849	0/0	0/0	0/0
1788095030.892	0/0	0/0	0/0
1788095030.934	0/0	0/0	0/0
1788095030.975	0/0	0/0	0/0
1788095031.018	0/0	0/0	0/0
1788095031.062	0/0	0/0	0/0
1788095031.104	0/0	0/0	0/0
1788095031.146	0/0	0/0	0/0
1788095031.189	0/0	0/0	0/0
1788095031.230	0/0	0/0	0/0
1788095031.274	0/0	0/0	0/0
1788095031.338	0/0	0/0	0/0
1788095031.383	0/0	0/0	0/0
1788095031.426	0/0	0/0	0/0
1788095031.467	0/0	0/0	0/0
1788095031.509	0/0	0/0	0/0
1788095031.551	0/0	0/0	0/0
1788095031.592	0/0	0/0	0/0
1788095031.633	0/0	0/0	0/0
1788095031.675	0/0	0/0	0/0
1788095031.716	0/0	0/0	0/0
1788095031.759	0/0	0/0	0/0
1788095031.800	0/0	0/0	0/0
1788095031.842	0/0	0/0	0/0
1788095031.883	0/0	0/0	0/0
1788095031.925	0/0	0/0	0/0
1788095031.967	0/0	0/0	0/0
1788095032.009	0/0	0/0	0/0
1788095032.051	0/0	0/0	0/0
1788095032.094	0/0	0/0	0/0
1788095032.137	0/0	0/0	0/0
1788095032.180	0/0	0/0	0/0
1788095032.221	0/0	0/0	0/0
1788095032.263	0/0	0/0	0/0
1788095032.346	0/0	0/0	0/0
1788095032.387	0/0	0/0	0/0
1788095032.431	0/0	0/0	0/0
1788095032.474	0/0	0/0	0/0
1788095032.515	0/0	0/0	0/0
1788095032.557	0/0	0/0	0/0
1788095032.600	0/0	0/0	0/0
1788095032.643	0/0	0/0	0/0
1788095032.684	0/0	0/0	0/0
1788095032.726	0/0	0/0	0/0
1788095032.770	0/0	0/0	0/0
1788095032.810	0/0	0/0	0/0
1788095032.851	0/0	0/0	0/0
1788095032.893	0/0	0/0	0/0
1788095032.934	0/0	0/0	0/0
1788095032.975	0/0	0/0	0/0
1788095033.020	0/0	0/0	0/0
1788095033.062	0/0	0/0	0/0
1788095033.103	0/0	0/0	0/0
1788095033.147	0/0	0/0	0/0
1788095033.188	0/0	0/0	0/0
1788095033.230	0/0	0/0	0/0
1788095033.273	0/0	0/0	0/0
1788095033.334	0/0	0/0	0/0
1788095033.376	0/0	0/0	0/0
1788095033.418	0/0	0/0	0/0
1788095033.463	0/0	0/0	0/0
1788095033.513	0/0	0/0	0/0
1788095033.559	0/0	0/0	0/0
1788095033.604	0/0	0/0	0/0
1788095033.651	0/0	0/0	0/0
1788095033.695	0/0	0/0	0/0
1788095033.736	0/0	0/0	0/0
1788095033.778	0/0	0/0	0/0
1788095033.819	0/0	0/0	0/0
1788095033.860	0/0	0/0	0/0
1788095033.902	0/0	0/0	0/0
1788095033.944	0/0	0/0	0/0
1788095033.985	0/0	0/0	0/0
1788095034.029	0/0	0/0	0/0
1788095034.071	0/0	0/0	0/0
1788095034.114	0/0	0/0	0/0
1788095034.156	0/0	0/0	0/0
1788095034.197	0/0	0/0	0/0
1788095034.237	0/0	0/0	0/0
1788095034.284	0/0	0/0	0/0
1788095034.343	0/0	0/0	0/0
1788095034.384	0/0	0/0	0/0
1788095034.425	0/0	0/0	0/0
1788095034.466	0/0	0/0	0/0
1788095034.508	0/0	0/0	0/0
1788095034.550	0/0	0/0	0/0
1788095034.589	0/0	0/0	0/0
1788095034.628	0/0	0/0	0/0
1788095034.665	0/0	0/0	0/0
1788095034.699	0/0	0/0	0/0
1788095034.733	0/0	0/0	0/0
1788095034.769	0/0	0/0	0/0
1788095034.807	0/0	0/0	0/0
1788095034.847	0/0	0/0	0/0
1788095034.886	0/0	0/0	0/0
1788095034.927	0/0	0/0	0/0
1788095034.971	0/0	0/0	0/0
1788095035.018	0/0	0/0	0/0
1788095035.062	0/0	0/0	0/0
1788095035.115	0/0	0/0	0/0
1788095035.162	0/0	0/0	0/0
1788095035.204	0/0	0/0	0/0
1788095035.251	0/0	0/0	0/0
1788095035.291	0/0	0/0	0/0
1788095035.355	0/0	0/0	0/0
1788095035.397	0/0	0/0	0/0
1788095035.438	0/0	0/0	0/0
1788095035.479	0/0	0/0	0/0
1788095035.522	0/0	0/0	0/0
1788095035.564	0/0	0/0	0/0
1788095035.605	0/0	0/0	0/0
1788095035.647	0/0	0/0	0/0
1788095035.687	0/0	0/0	0/0
1788095035.738	0/0	0/0	0/0
1788095035.781	0/0	0/0	0/0
1788095035.822	0/0	0/0	0/0
1788095035.863	0/0	0/0	0/0
1788095035.904	0/0	0/0	0/0
1788095035.946	0/0	0/0	0/0
1788095035.987	0/0	0/0	0/0
1788095036.029	0/0	0/0	0/0
1788095036.078	0/0	0/0	0/0
1788095036.119	0/0	0/0	0/0
1788095036.159	0/0	0/0	0/0
1788095036.203	0/0	0/0	0/0
1788095036.244	0/0	0/0	0/0
1788095036.285	0/0	0/0	0/0
1788095036.347	0/0	0/0	0/0
1788095036.388	0/0	0/0	0/0
1788095036.430	0/0	0/0	0/0
1788095036.472	0/0	0/0	0/0
1788095036.513	0/0	0/0	0/0
1788095036.556	0/0	0/0	0/0
1788095036.598	0/0	0/0	0/0
1788095036.640	0/0	0/0	0/0
1788095036.680	0/0	0/0	0/0
1788095036.723	0/0	0/0	0/0
1788095036.765	0/0	0/0	0/0
1788095036.806	0/0	0/0	0/0
1788095036.849	0/0	0/0	0/0
1788095036.891	0/0	0/0	0/0
1788095036.944	0/0	0/0	0/0
1788095036.987	0/0	0/0	0/0
1788095037.030	0/0	0/0	0/0
1788095037.071	0/0	0/0	0/0
1788095037.118	0/0	0/0	0/0
