epoch	10.0.0.230:ph/prog	10.0.0.231:ph/prog	10.0.0.232:ph/prog	10.0.0.233:ph/prog	10.0.0.234:ph/prog	10.0.0.235:ph/prog	10.0.0.236:ph/prog	10.0.0.237:ph/prog
1788095282.782	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095282.825	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095282.870	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095282.913	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095282.953	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095282.999	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.042	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.088	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.132	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.175	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.218	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.264	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.335	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.379	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.421	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.463	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.505	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.547	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.589	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.630	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.673	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.716	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.757	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.800	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.844	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.887	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.929	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095283.975	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.014	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.055	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.103	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.144	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.187	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.229	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.272	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.356	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.410	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.453	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.496	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.536	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.575	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.614	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.657	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.703	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.742	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.793	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.835	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.888	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.934	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095284.979	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.031	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.078	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.119	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.161	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.201	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.241	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.288	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.350	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.396	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.439	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.481	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.523	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.571	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.615	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.656	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.705	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.748	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.788	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.831	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.874	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.915	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095285.957	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.000	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.049	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.097	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.138	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.181	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.226	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.270	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.339	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.385	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.429	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.474	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.518	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.565	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.609	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.651	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.694	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.735	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.779	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.831	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.876	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.917	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095286.960	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.002	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.044	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.087	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.129	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.170	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.211	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.255	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.299	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.360	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.408	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.449	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.492	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.535	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.578	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.619	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.660	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.705	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.746	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.790	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.835	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.880	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.923	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095287.965	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.008	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.050	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.092	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.133	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.175	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.217	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.260	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.303	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.364	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.413	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.457	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.499	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.541	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.583	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.623	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.666	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.710	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.752	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.798	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.841	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.882	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.925	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095288.966	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.012	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.059	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.102	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.144	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.186	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.229	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.272	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.342	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.398	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.450	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.493	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.536	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.579	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.621	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.667	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.715	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.756	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.800	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.850	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.894	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.936	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095289.978	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.022	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.065	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.107	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.149	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.192	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.235	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.278	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.341	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.388	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.436	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.479	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.523	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.565	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.606	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.648	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.691	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.733	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.775	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.818	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.860	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.902	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.951	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095290.993	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.037	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.080	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.122	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.163	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.205	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.253	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.298	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.358	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.401	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.443	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.484	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.527	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.569	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.611	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.652	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.702	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.745	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.795	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.836	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.877	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.927	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095291.970	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.013	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.056	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.108	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.159	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.208	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.264	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.349	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.393	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.435	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.483	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.527	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.568	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.614	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.658	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.699	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.738	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.779	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.820	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.860	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.899	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.938	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095292.974	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.008	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.039	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.066	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.091	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.113	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.133	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.152	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.169	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.185	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.201	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.217	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.233	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.256	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.279	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.305	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.328	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.352	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.379	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.410	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.442	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.475	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.511	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.549	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.588	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.631	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.682	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.726	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.768	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.818	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.866	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.908	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.949	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095293.991	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.040	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.087	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.127	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.168	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.208	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.250	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.299	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.370	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.414	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.461	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.505	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.546	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.588	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.630	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.673	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.716	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.760	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.803	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.846	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.888	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.930	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095294.971	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.014	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.056	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.099	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.142	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.184	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.227	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.283	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.340	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.380	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.420	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.459	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.496	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.528	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.557	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.583	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.606	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.629	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.650	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.670	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.688	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.705	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.722	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.738	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.755	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.772	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.789	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.806	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.823	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.839	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.855	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.871	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.887	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.906	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.923	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.939	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.955	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.971	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095295.992	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.017	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.040	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.068	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.093	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.114	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.160	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.202	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.245	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.290	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.350	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.394	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.437	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.479	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.522	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.564	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.605	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.646	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.690	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.734	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.779	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.825	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.868	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.912	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.954	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095296.996	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.039	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.081	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.124	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.165	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.206	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.260	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.304	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.364	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
1788095297.408	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1
