rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
1	911	29	1345.3	34.4	1283	1	0
1	911	30	1388.8	35.9	1283	1	0
1	911	31	1438.6	40.5	1283	1	0
1	911	32	1479.2	34.5	1283	1	0
1	911	33	1522.9	36.3	1283	1	0
1	911	34	1564.0	34.0	1283	1	0
1	911	35	1607.1	34.6	1283	1	0
1	911	36	1647.9	34.1	1283	1	0
1	911	37	1689.8	35.6	1283	1	0
1	911	38	1733.0	36.8	1283	1	0
1	911	39	1773.1	32.9	1283	1	0
1	911	40	1817.8	37.9	1283	1	0
1	911	41	1864.8	39.5	1283	1	0
1	911	42	1905.6	32.7	1283	1	0
1	911	43	1945.4	32.8	1283	1	0
1	911	44	1986.9	33.3	1283	1	0
1	911	45	2027.1	33.0	1283	1	0
1	911	46	2068.0	32.8	1283	1	0
1	911	47	2109.8	33.4	1283	1	0
1	911	48	2155.3	35.5	1283	1	0
1	911	49	2200.9	37.9	1283	1	0
1	911	50	2243.3	35.1	1283	1	0
1	911	51	2373.0	123.6	1283	1	0
1	911	52	2419.0	38.6	1283	1	0
1	911	53	2461.2	34.6	1283	1	0
1	911	54	2503.8	34.6	1283	1	0
1	911	55	2545.5	34.5	1283	1	0
1	911	56	2588.5	35.4	1283	1	0
1	911	57	2629.6	33.9	1283	1	0
1	911	58	2670.9	33.6	1283	1	0
1	911	59	2714.6	35.5	1283	1	0
1	911	60	2758.5	36.6	1283	1	0
1	911	61	2799.4	33.5	1283	1	0
1	911	62	2840.2	33.1	1283	1	0
1	911	63	2880.6	33.1	1283	1	0
1	911	64	2921.4	33.1	1283	1	0
1	911	65	2961.8	33.1	1283	1	0
1	911	66	3002.3	33.0	1283	1	0
1	911	67	3558.9	48.9	1283	1	0
1	911	68	4105.2	38.3	1283	1	0
1	911	69	4650.3	37.2	1283	1	0
1	911	70	5195.5	37.5	1283	1	0
1	911	71	5744.0	37.5	1283	1	0
1	911	72	6299.9	47.8	1283	1	0
1	911	73	6844.6	36.6	1283	1	0
1	911	74	7390.4	38.0	1283	1	0
1	911	75	7936.3	37.5	1283	1	0
1	911	76	8485.7	42.3	1283	1	0
1	911	77	9033.6	41.5	1283	1	0
1	911	78	9579.3	37.6	1282	0	0
1	911	79	10130.5	41.3	1282	0	0
1	911	80	10677.3	38.9	1282	0	0
1	911	81	11225.0	41.2	1282	0	0
1	911	82	11769.0	36.0	1282	0	0
1	911	83	12391.3	111.0	1282	0	0
1	911	84	12937.8	39.3	1282	0	0
1	911	85	13480.1	36.2	1282	0	0
1	911	86	14028.0	40.9	1282	0	0
1	911	87	14570.9	36.7	1282	0	0
1	911	88	15113.9	36.8	1282	0	0
1	911	89	15656.1	36.2	1282	0	0
1	911	90	16199.1	37.1	1282	0	0
1	911	91	16744.2	37.7	1282	0	0
1	911	92	17302.6	49.6	1282	0	0
1	911	93	17846.4	36.2	1282	0	0
2	912	0	48.6	41.0	1283	1	0
2	912	1	97.9	34.6	1283	1	0
2	912	2	141.8	33.9	1283	1	0
2	912	3	184.0	33.7	1283	1	0
2	912	4	225.9	33.2	1283	1	0
2	912	5	266.3	33.4	1283	1	0
2	912	6	311.8	34.0	1283	1	0
2	912	7	353.5	33.1	1283	1	0
2	912	8	405.7	41.5	1283	1	0
2	912	9	449.1	36.5	1283	1	0
2	912	10	489.3	34.1	1283	1	0
2	912	11	535.5	38.1	1283	1	0
2	912	12	578.2	35.3	1283	1	0
2	912	13	628.8	42.4	1283	1	0
2	912	14	673.4	36.8	1283	1	0
2	912	15	716.7	35.3	1283	1	0
2	912	16	762.3	38.2	1283	1	0
2	912	17	805.8	35.2	1283	1	0
2	912	18	849.1	35.0	1283	1	0
2	912	19	893.0	35.2	1283	1	0
2	912	20	965.6	62.9	1283	1	0
2	912	21	1009.7	35.7	1283	1	0
2	912	22	1056.4	37.6	1283	1	0
2	912	23	1097.4	33.6	1283	1	0
2	912	24	1142.5	37.0	1283	1	0
2	912	25	1190.0	36.6	1283	1	0
2	912	26	1241.5	40.4	1283	1	0
2	912	27	1286.1	36.7	1283	1	0
2	912	28	1333.9	39.8	1283	1	0
2	912	29	1381.4	37.7	1283	1	0
2	912	30	1424.2	36.0	1283	1	0
2	912	31	1469.2	39.0	1283	1	0
2	912	32	1510.5	35.0	1283	1	0
2	912	33	1552.9	35.2	1283	1	0
2	912	34	1599.9	40.8	1283	1	0
2	912	35	1649.8	42.7	1282	0	0
2	912	36	1696.1	38.8	1282	0	0
2	912	37	1738.8	33.1	1282	0	0
2	912	38	1779.0	32.9	1282	0	0
2	912	39	1824.7	33.0	1282	0	0
2	912	40	1868.6	33.5	1282	0	0
2	912	41	1909.4	32.5	1282	0	0
2	912	42	1970.8	52.7	1282	0	0
2	912	43	2011.1	33.2	1282	0	0
2	912	44	2053.7	34.0	1282	0	0
2	912	45	2093.9	32.9	1282	0	0
2	912	46	2135.1	34.8	1282	0	0
2	912	47	2178.7	37.6	1282	0	0
2	912	48	2219.1	33.7	1282	0	0
2	912	49	2259.8	33.6	1282	0	0
2	912	50	2299.3	33.4	1282	0	0
2	912	51	2337.0	31.6	1282	0	0
2	912	52	2374.7	31.8	1282	0	0
2	912	53	2411.6	31.2	1282	0	0
2	912	54	2444.8	28.1	1282	0	0
2	912	55	2474.6	25.0	1282	0	0
2	912	56	2501.7	22.7	1282	0	0
2	912	57	2527.4	21.7	1282	0	0
2	912	58	2549.9	18.9	1282	0	0
2	912	59	2570.4	17.2	1282	0	0
2	912	60	2589.3	15.7	1282	0	0
2	912	61	2612.5	15.5	1282	0	0
2	912	62	2647.0	18.8	1282	0	0
2	912	63	2678.5	24.2	1282	0	0
2	912	64	2711.9	25.9	1282	0	0
2	912	65	2747.6	28.0	1282	0	0
2	912	66	2785.2	29.4	1282	0	0
2	912	67	2825.8	32.7	1282	0	0
2	912	68	2867.4	33.0	1282	0	0
2	912	69	2915.6	38.0	1282	0	0
2	912	70	2976.2	53.3	1282	0	0
2	912	71	3023.8	38.2	1282	0	0
2	912	72	3570.9	38.7	1282	0	0
2	912	73	4120.4	39.7	1282	0	0
2	912	74	4666.4	36.9	1282	0	0
2	912	75	5210.4	35.5	1282	0	0
2	912	76	5756.6	38.1	1282	0	0
2	912	77	6301.8	36.1	1282	0	0
2	912	78	6852.4	41.6	1282	0	0
2	912	79	7406.5	45.0	1282	0	0
2	912	80	7953.3	38.1	1282	0	0
2	912	81	8497.0	36.1	1282	0	0
2	912	82	9044.6	37.8	1282	0	0
2	912	83	9589.4	37.3	1282	0	0
2	912	84	10132.8	37.1	1282	0	0
2	912	85	10679.1	38.8	1282	0	0
2	912	86	11231.7	42.6	1282	0	0
2	912	87	11786.2	43.7	1282	0	0
2	912	88	12334.8	39.2	1282	0	0
2	912	89	12882.9	39.4	1282	0	0
2	912	90	13431.4	38.5	1282	0	0
2	912	91	13979.5	39.7	1282	0	0
2	912	92	14527.6	37.7	1282	0	0
2	912	93	15074.0	39.3	1282	0	0
2	912	94	15623.2	38.6	1282	0	0
2	912	95	16172.2	39.5	1282	0	0
2	912	96	16719.5	38.7	1282	0	0
2	912	97	17271.2	43.5	1282	0	0
2	912	98	17814.9	36.9	1282	0	0
3	913	0	45.6	35.9	1283	1	0
3	913	1	89.4	34.5	1283	1	0
3	913	2	130.7	32.8	1283	1	0
3	913	3	175.3	34.0	1283	1	0
3	913	4	218.1	34.4	1283	1	0
3	913	5	258.9	33.4	1283	1	0
3	913	6	301.4	33.1	1283	1	0
3	913	7	346.0	34.1	1283	1	0
3	913	8	384.8	32.7	1283	1	0
3	913	9	423.0	32.2	1283	1	0
3	913	10	461.7	32.7	1283	1	0
3	913	11	500.4	32.4	1283	1	0
3	913	12	539.2	32.6	1283	1	0
3	913	13	580.4	33.6	1283	1	0
3	913	14	644.2	56.6	1283	1	0
3	913	15	685.0	32.9	1283	1	0
3	913	16	726.7	33.8	1283	1	0
3	913	17	769.4	34.0	1283	1	0
3	913	18	809.9	33.1	1283	1	0
3	913	19	855.1	37.1	1283	1	0
3	913	20	897.0	33.5	1283	1	0
3	913	21	941.8	34.2	1283	1	0
3	913	22	985.2	34.5	1283	1	0
3	913	23	1027.5	33.4	1283	1	0
3	913	24	1071.5	33.8	1283	1	0
3	913	25	1116.3	35.0	1283	1	0
3	913	26	1157.0	32.8	1283	1	0
3	913	27	1199.1	33.2	1283	1	0
3	913	28	1239.9	33.0	1283	1	0
3	913	29	1282.3	33.2	1283	1	0
3	913	30	1324.4	33.7	1283	1	0
