rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	4.00	4.00	yes
2	1	0.0000	0.0000	8.00	8.00	yes
3	1	0.0000	0.0000	12.00	12.00	yes
5	1	0.0000	0.0000	20.00	20.00	yes
8	1	0.0000	0.0000	32.00	32.00	yes
12	1	0.0000	0.0000	48.00	47.99	yes
20	1	0.0000	0.0000	79.99	79.99	yes
30	1	0.0000	0.0000	119.99	119.98	yes
45	1	0.0000	0.0000	179.98	179.97	yes
70	1	0.0000	0.0000	279.95	279.95	yes
110	1	0.0000	0.0000	439.93	439.93	yes
160	1	0.0000	0.0000	639.90	639.89	yes
240	1	0.0000	0.0000	959.88	959.77	yes
360	3	0.0795	0.0795,0.1995,0.0528	961.76	961.03	yes
540	3	0.0238	0.1062,0.0238,0.0000	962.35	961.72	yes
810	3	0.0274	0.0274,0.0000,0.1823	962.82	962.22	yes
