kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789810414.076147928	1789810422.098226023	0.0000	999.9	999.8
2	1	1789810423.187907139	1789810431.214232769	0.0000	1999.8	1999.6
3	1	1789810432.297538105	1789810440.324906320	0.0000	2999.5	2999.2
5	1	1789810441.416240900	1789810449.440710419	0.0000	4999.2	4998.8
8	1	1789810450.529104991	1789810458.552457232	0.0000	7998.7	7998.1
12	1	1789810459.640028706	1789810467.663245633	0.3282	11998.1	11997.3
12	2	1789810468.695717603	1789810476.718451907	0.0052	11998.0	11996.2
12	3	1789810477.749168601	1789810485.772563078	0.0052	11997.8	11996.8
12	c1	1789810486.835876394	1789810494.856697686	0.0000	11998.0	11997.0
12	c2	1789810495.889471601	1789810503.912182171	0.0167	11997.8	11996.6
12	c3	1789810504.948179972	1789810512.971185902	0.0198	11998.0	11996.9
