rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	20.00	yes	no
30	1	0.0000	0.0000	30.00	29.99	yes	no
45	1	0.0000	0.0000	45.00	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.97	yes	no
110	3	0.0000	0.0127,0.0000,0.0000	109.98	109.96	yes	no
160	1	3.8198	3.8198	159.98	152.34	no	no
240	1	35.8585	35.8585	239.97	152.43	no	no
360	1	57.8343	57.8343	359.95	150.27	no	no
