t_since_post_s	southbound	kernel_view
1.223	True	phantom
1.227	True	phantom
1.231	True	phantom
1.235	True	phantom
1.239	True	phantom
1.244	True	phantom
1.248	True	phantom
1.251	True	phantom
1.255	True	phantom
1.258	True	phantom
1.262	True	phantom
1.266	True	phantom
1.270	True	phantom
1.274	True	phantom
1.277	True	phantom
1.282	True	phantom
1.286	True	phantom
1.290	True	phantom
1.294	True	phantom
1.298	True	phantom
1.302	True	phantom
1.306	True	phantom
1.311	True	phantom
1.315	True	phantom
1.320	True	phantom
1.325	True	phantom
1.328	True	phantom
1.332	True	phantom
1.336	True	phantom
1.340	True	phantom
1.344	True	phantom
1.348	True	phantom
1.352	True	phantom
1.356	True	phantom
1.360	True	phantom
1.364	True	phantom
1.367	True	phantom
1.371	True	phantom
1.374	True	phantom
1.377	True	phantom
1.382	True	phantom
1.386	True	phantom
1.390	True	phantom
1.394	True	phantom
1.398	True	phantom
1.403	True	phantom
1.407	True	phantom
1.411	True	phantom
1.414	True	phantom
1.418	True	phantom
1.421	True	phantom
1.424	True	phantom
1.428	True	phantom
1.431	True	phantom
1.435	True	phantom
1.438	True	phantom
1.442	True	phantom
1.446	True	phantom
1.449	True	phantom
1.453	True	phantom
1.456	True	phantom
1.459	True	phantom
1.462	True	phantom
1.466	True	phantom
1.470	True	phantom
1.474	True	phantom
1.477	True	phantom
1.482	True	phantom
1.486	True	phantom
1.490	True	phantom
1.494	True	phantom
1.497	True	phantom
1.502	True	phantom
1.507	True	phantom
1.511	True	phantom
1.515	True	phantom
1.519	True	phantom
1.523	True	phantom
1.526	True	phantom
1.529	True	phantom
1.533	True	phantom
1.537	True	phantom
1.540	True	phantom
1.544	True	phantom
1.547	True	phantom
1.550	True	phantom
1.554	True	phantom
1.558	True	phantom
1.563	True	phantom
1.568	True	phantom
1.572	True	phantom
1.576	True	phantom
1.580	True	phantom
1.584	True	phantom
1.588	True	phantom
1.592	True	phantom
1.596	True	phantom
1.600	True	phantom
1.604	True	phantom
1.608	True	phantom
1.612	True	phantom
1.616	True	phantom
1.620	True	phantom
1.623	True	phantom
1.627	True	phantom
1.631	True	phantom
1.635	True	phantom
1.639	True	phantom
1.642	True	phantom
1.646	True	phantom
1.650	True	phantom
1.653	True	phantom
1.657	True	phantom
1.660	True	phantom
1.664	True	phantom
1.668	True	phantom
1.672	True	phantom
1.676	True	phantom
1.679	True	phantom
1.682	True	phantom
1.686	True	phantom
1.689	True	phantom
1.693	True	phantom
1.697	True	phantom
1.702	True	phantom
1.707	True	phantom
1.710	True	phantom
1.714	True	phantom
1.717	True	phantom
1.721	True	phantom
1.724	True	phantom
1.728	True	phantom
1.731	True	phantom
1.735	True	phantom
1.739	True	phantom
1.743	True	phantom
1.746	True	phantom
1.751	True	phantom
1.754	True	phantom
1.758	True	phantom
1.762	True	phantom
1.766	True	phantom
1.770	True	phantom
1.774	True	phantom
1.777	True	phantom
1.781	True	phantom
1.785	True	phantom
1.789	True	phantom
1.793	True	phantom
1.797	True	phantom
1.800	True	phantom
1.807	True	phantom
1.810	True	phantom
1.814	True	phantom
1.818	True	phantom
1.821	True	phantom
1.824	True	phantom
1.828	True	phantom
1.831	True	phantom
1.834	True	phantom
1.838	True	phantom
1.841	True	phantom
1.844	True	phantom
1.848	True	phantom
1.851	True	phantom
1.854	True	phantom
1.858	True	phantom
1.861	True	phantom
1.864	True	phantom
1.868	True	phantom
1.872	True	phantom
1.875	True	phantom
1.878	True	phantom
1.882	True	phantom
1.886	True	phantom
1.890	True	phantom
1.893	True	phantom
1.897	True	phantom
1.900	True	phantom
1.904	True	phantom
1.907	True	phantom
1.911	True	phantom
1.914	True	phantom
1.918	True	phantom
1.922	True	phantom
1.925	True	phantom
1.929	True	phantom
1.933	True	phantom
1.937	True	phantom
1.940	True	phantom
1.944	True	phantom
1.947	True	phantom
1.950	True	phantom
1.954	True	phantom
1.957	True	phantom
1.960	True	phantom
1.964	True	phantom
1.967	True	phantom
1.971	True	phantom
1.975	True	phantom
1.978	True	phantom
1.981	True	phantom
1.985	True	phantom
1.989	True	phantom
1.992	True	phantom
1.996	True	phantom
1.999	True	phantom
2.003	True	phantom
2.007	True	phantom
2.010	True	phantom
2.014	True	phantom
2.018	True	phantom
2.022	True	phantom
2.026	True	phantom
2.029	True	phantom
2.032	True	phantom
2.036	True	phantom
2.039	True	phantom
2.043	True	phantom
2.046	True	phantom
2.050	True	phantom
2.054	True	phantom
2.057	True	phantom
2.063	True	phantom
2.068	True	phantom
2.072	True	phantom
2.076	True	phantom
2.079	True	phantom
2.083	True	phantom
2.086	True	phantom
2.090	True	phantom
2.093	True	phantom
2.096	True	phantom
2.100	True	phantom
2.104	True	phantom
2.107	True	phantom
2.110	True	phantom
2.114	True	phantom
2.117	True	phantom
2.121	True	phantom
2.127	True	phantom
2.131	True	phantom
2.135	True	phantom
2.139	True	phantom
2.142	True	phantom
2.145	True	phantom
2.148	True	phantom
2.151	True	phantom
2.154	True	phantom
2.157	True	phantom
2.160	True	phantom
2.163	True	phantom
2.166	True	phantom
2.169	True	phantom
2.173	True	phantom
2.176	True	phantom
2.178	True	phantom
2.181	True	phantom
2.184	True	phantom
2.187	True	phantom
2.191	True	phantom
2.193	True	phantom
2.196	True	phantom
2.200	True	phantom
2.203	True	phantom
2.206	True	phantom
2.209	True	phantom
2.212	True	phantom
2.215	True	phantom
2.218	True	phantom
2.221	True	phantom
2.224	True	phantom
2.227	True	phantom
2.231	True	phantom
2.235	True	phantom
2.238	True	phantom
2.242	True	phantom
2.246	True	phantom
2.249	True	phantom
2.253	True	phantom
2.256	True	phantom
2.259	True	phantom
2.262	True	phantom
2.265	True	phantom
2.269	True	phantom
2.272	True	phantom
2.275	True	phantom
2.278	True	phantom
2.281	True	phantom
2.284	True	phantom
2.287	True	phantom
2.291	True	phantom
2.294	True	phantom
2.297	True	phantom
2.300	True	phantom
2.303	True	phantom
2.307	True	phantom
2.310	True	phantom
2.313	True	phantom
2.316	True	phantom
2.320	True	phantom
2.323	True	phantom
2.327	True	phantom
2.330	True	phantom
2.334	True	phantom
2.337	True	phantom
2.340	True	phantom
2.343	True	phantom
2.347	True	phantom
2.350	True	phantom
2.354	True	phantom
2.357	True	phantom
2.360	True	phantom
2.364	True	phantom
2.367	True	phantom
2.370	True	phantom
2.373	True	phantom
2.376	True	phantom
2.379	True	phantom
2.383	True	phantom
2.386	True	phantom
2.389	True	phantom
2.392	True	phantom
2.395	True	phantom
2.399	True	phantom
2.403	True	phantom
2.407	True	phantom
2.410	True	phantom
2.413	True	phantom
2.417	True	phantom
2.420	True	phantom
2.424	True	phantom
2.427	True	phantom
2.431	True	phantom
2.434	True	phantom
2.438	True	phantom
2.441	True	phantom
2.445	True	phantom
2.449	True	phantom
2.453	True	phantom
2.456	True	phantom
2.460	True	phantom
2.464	True	phantom
2.467	True	phantom
2.471	True	phantom
2.474	True	phantom
2.477	True	phantom
2.481	True	phantom
2.484	True	phantom
2.488	True	phantom
2.492	True	phantom
2.495	True	phantom
2.498	True	phantom
2.503	True	phantom
2.508	True	phantom
2.512	True	phantom
2.517	True	phantom
2.521	True	phantom
2.525	True	phantom
2.529	True	phantom
2.533	True	phantom
2.537	True	phantom
2.541	True	phantom
2.545	True	phantom
2.548	True	phantom
2.551	True	phantom
2.553	True	phantom
2.555	True	phantom
2.558	True	phantom
2.561	True	phantom
2.566	True	phantom
2.571	True	phantom
2.575	True	phantom
2.579	True	phantom
2.583	True	phantom
2.587	True	phantom
2.591	True	phantom
2.595	True	phantom
2.599	True	phantom
2.602	True	phantom
2.606	True	phantom
2.609	True	phantom
2.613	True	phantom
2.617	True	phantom
2.621	True	phantom
2.625	True	phantom
2.629	True	phantom
2.633	True	phantom
2.637	True	phantom
2.641	True	phantom
2.644	True	phantom
2.648	True	phantom
2.651	True	phantom
2.655	True	phantom
2.658	True	phantom
2.662	True	phantom
2.666	True	phantom
2.670	True	phantom
2.674	True	phantom
2.678	True	phantom
2.682	True	phantom
2.686	True	phantom
2.690	True	phantom
2.693	True	phantom
2.696	True	phantom
2.700	True	phantom
2.703	True	phantom
2.707	True	phantom
2.710	True	phantom
2.713	True	phantom
2.717	True	phantom
2.721	True	phantom
2.724	True	phantom
2.728	True	phantom
2.731	True	phantom
2.735	True	phantom
2.739	True	phantom
2.742	True	phantom
2.746	True	phantom
2.749	True	phantom
2.753	True	phantom
2.756	True	phantom
2.760	True	phantom
2.764	True	phantom
2.768	True	phantom
2.771	True	phantom
2.775	True	phantom
2.778	True	phantom
2.782	True	phantom
2.787	True	phantom
2.790	True	phantom
2.794	True	phantom
2.797	True	phantom
2.800	True	phantom
2.809	True	phantom
2.813	True	phantom
2.817	True	phantom
2.821	True	phantom
2.824	True	phantom
2.828	True	phantom
2.831	True	phantom
2.835	True	phantom
2.839	True	phantom
2.843	True	phantom
2.846	True	phantom
2.851	True	phantom
2.855	True	phantom
2.859	True	phantom
2.863	True	phantom
2.868	True	phantom
2.872	True	phantom
2.877	True	phantom
2.882	True	phantom
2.886	True	phantom
2.890	True	phantom
2.893	True	phantom
2.897	True	phantom
2.901	True	phantom
2.904	True	phantom
2.908	True	phantom
2.912	True	phantom
2.916	True	phantom
2.919	True	phantom
2.923	True	phantom
2.927	True	phantom
2.932	True	phantom
2.937	True	phantom
2.941	True	phantom
2.945	True	phantom
2.948	True	phantom
2.952	True	phantom
2.956	True	phantom
2.959	True	phantom
2.962	True	phantom
2.965	True	phantom
2.969	True	phantom
2.972	True	phantom
2.976	True	phantom
2.979	True	phantom
2.982	True	phantom
2.987	True	phantom
2.991	True	phantom
2.994	True	phantom
2.998	True	phantom
3.002	True	phantom
3.006	True	phantom
3.009	True	phantom
3.013	True	phantom
3.018	True	phantom
3.022	True	phantom
3.026	True	phantom
3.030	True	phantom
3.033	True	phantom
3.037	True	phantom
3.040	True	phantom
3.044	True	phantom
3.047	True	phantom
3.052	True	phantom
3.056	True	phantom
3.061	True	phantom
3.066	True	phantom
3.071	True	phantom
3.075	True	phantom
3.080	True	phantom
3.084	True	phantom
3.088	True	phantom
3.092	True	phantom
3.095	True	phantom
3.099	True	phantom
3.103	True	phantom
3.107	True	phantom
3.111	True	phantom
3.115	True	phantom
3.119	True	phantom
3.123	True	phantom
3.126	True	phantom
3.130	True	phantom
3.134	True	phantom
3.138	True	phantom
3.142	True	phantom
3.145	True	phantom
3.150	True	phantom
3.153	True	phantom
3.158	True	phantom
3.163	True	phantom
3.168	True	phantom
3.172	True	phantom
3.177	True	phantom
3.182	True	phantom
3.186	True	phantom
3.190	True	phantom
3.193	True	phantom
3.197	True	phantom
3.200	True	phantom
3.203	True	phantom
3.207	True	phantom
3.210	True	phantom
3.214	True	phantom
3.219	True	phantom
3.223	True	phantom
3.229	True	phantom
3.234	True	phantom
3.239	True	phantom
3.243	True	phantom
3.248	True	phantom
3.253	True	phantom
