kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.7	1999.5	yes
3	1	0.0000	0.0000	2999.6	2999.4	yes
5	1	0.0000	0.0000	4999.2	4998.7	yes
8	3	0.0000	0.0234,0.0000,0.0000	7998.8	7997.3	yes
12	1	0.0000	0.0000	11997.9	11996.0	yes
20	3	0.0225	0.0563,0.0225,0.0075	19996.7	19993.6	yes
30	3	0.3692	0.3692,0.2925,0.3738	29994.9	29989.8	yes
45	1	5.3967	5.3967	44992.0	44980.0	no
70	1	29.8076	29.8076	69988.5	69973.0	no
110	1	50.1923	50.1923	109984.4	109969.0	no
