kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789818608.559794772	1789818616.587773769	0.0000	999.9	999.8
2	1	1789818617.676903849	1789818625.704721414	0.0000	1999.7	1999.5
3	1	1789818626.786368033	1789818634.808315876	0.0000	2999.6	2999.4
5	1	1789818635.889276580	1789818643.914622013	0.0000	4999.2	4998.7
8	1	1789818645.004394175	1789818653.030720643	0.0234	7998.9	7997.4
8	2	1789818654.061773349	1789818662.090325134	0.0000	7998.7	7997.4
8	3	1789818663.129067529	1789818671.155822737	0.0000	7998.7	7997.2
12	1	1789818672.243138067	1789818680.272812539	0.0000	11997.9	11996.0
20	1	1789818681.361081894	1789818689.386530714	0.0563	19996.6	19994.2
20	2	1789818690.432654197	1789818698.463354429	0.0225	19996.7	19992.6
20	3	1789818699.499093492	1789818707.526524316	0.0075	19996.7	19994.1
30	1	1789818708.619281898	1789818716.646481521	0.3692	29994.7	29989.6
30	2	1789818717.682209743	1789818725.708524622	0.2925	29995.2	29987.3
30	3	1789818726.741085321	1789818734.764381744	0.3738	29994.8	29992.4
45	1	1789818735.849699910	1789818743.880780480	5.3967	44992.0	44980.0
70	1	1789818744.968784353	1789818752.998716424	29.8076	69988.5	69973.0
110	1	1789818754.086045196	1789818762.112983727	50.1923	109984.4	109969.0
30	c1	1789818763.187213609	1789818771.210194801	0.4888	29995.7	29991.1
30	c2	1789818772.246325381	1789818780.277026507	0.9213	29994.8	29988.2
30	c3	1789818781.308908106	1789818789.334348208	0.3888	29995.1	29991.6
