epoch	up	enabled	admin_disabled	edges_down	util_max	down_names
1788100538	10	10	0	0	0.0	none
1788100548	10	10	0	0	0.0	none
1788100558	10	10	0	0	0.0	none
1788100568	10	10	0	0	0.0	none
1788100578	10	10	0	0	0.0	none
1788100588	10	10	0	0	0.0	none
1788100598	10	10	0	0	0.0	none
1788100608	10	10	0	0	0.0	none
1788100618	10	10	0	0	0.0	none
1788100628	10	10	0	0	0.0	none
1788100638	10	10	0	0	0.0	none
1788100648	10	10	0	0	0.0	none
1788100659	10	10	0	0	0.0	none
1788100669	10	10	0	0	0.0	none
1788100679	10	10	0	0	0.0	none
1788100689	10	10	0	0	0.0	none
1788100699	10	10	0	0	0.0	none
1788100709	10	10	0	0	0.0	none
1788100719	10	10	0	0	0.0	none
1788100729	10	10	0	0	0.0	none
1788100739	10	10	0	0	0.0	none
1788100749	10	10	0	0	0.0	none
1788100759	10	10	0	0	0.0	none
1788100769	10	10	0	0	0.0	none
1788100779	10	10	0	0	0.0	none
