kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	3	0.0000	0.3667,0.0000,0.0000	2999.6	2999.4	yes
5	3	0.0000	0.0075,0.0000,0.0000	4999.2	4998.8	yes
8	1	0.0000	0.0000	7998.5	7997.7	yes
12	3	0.2521	0.3563,0.0490,0.2521	11998.0	11997.1	yes
20	3	0.4857	0.3669,0.9495,0.4857	19996.7	19994.9	yes
30	3	1.0739	1.8594,0.9514,1.0739	29995.4	29991.6	no
45	1	16.6913	16.6913	44992.7	44986.4	no
70	1	42.0499	42.0499	69988.9	69982.1	no
110	1	58.6402	58.6402	109983.8	109967.4	no
