kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.7	2999.4	yes
5	3	0.0000	0.1225,0.0000,0.0000	4999.2	4998.9	yes
8	1	0.0000	0.0000	7998.8	7993.4	yes
12	3	0.2240	0.7199,0.2240,0.0750	11998.0	11975.4	yes
20	1	4.4604	4.4604	19997.0	19981.5	no
30	1	5.2551	5.2551	29993.0	29986.3	no
45	1	14.0770	14.0770	44993.4	44988.7	no
70	1	54.2498	54.2498	69989.9	69974.4	no
110	1	69.2381	69.2381	109983.0	109929.5	no
