kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789820169.449455546	1789820177.473252534	0.0000	999.9	999.8
2	1	1789820178.559884038	1789820186.580110144	0.0000	1999.8	1999.6
3	1	1789820187.663414516	1789820195.686425971	0.0000	2999.7	2999.4
5	1	1789820196.796533390	1789820204.818530046	0.1225	4999.2	4998.9
5	2	1789820205.866486584	1789820213.887260711	0.0000	4999.2	4998.9
5	3	1789820214.921472288	1789820223.031647176	0.0000	4999.2	4998.8
8	1	1789820224.982569826	1789820233.006923651	0.0000	7998.8	7993.4
12	1	1789820234.119571416	1789820242.467478722	0.7199	11998.0	11992.0
12	2	1789820243.504167492	1789820251.523814427	0.2240	11998.1	11996.7
12	3	1789820252.582187649	1789820260.647613588	0.0750	11997.8	11937.4
20	1	1789820261.747344976	1789820269.801402001	4.4604	19997.0	19981.5
30	1	1789820270.930884167	1789820278.974041253	5.2551	29993.0	29986.3
45	1	1789820280.088536135	1789820288.109659887	14.0770	44993.4	44988.7
70	1	1789820289.229995382	1789820297.254773238	54.2498	69989.9	69974.4
110	1	1789820298.404177332	1789820306.427449504	69.2381	109983.0	109929.5
12	c1	1789820307.560187039	1789820315.589037812	0.0167	11997.9	11995.9
12	c2	1789820316.624974064	1789820324.650693508	0.0000	11998.0	11996.7
12	c3	1789820325.687354135	1789820333.717929795	0.2188	11997.5	11994.5
