rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	4.00	4.00	yes
2	1	0.0000	0.0000	8.00	8.00	yes
3	1	0.0000	0.0000	12.00	12.00	yes
5	1	0.0000	0.0000	20.00	20.00	yes
8	1	0.0000	0.0000	32.00	32.00	yes
12	1	0.0000	0.0000	47.99	47.99	yes
20	1	0.0000	0.0000	79.99	79.99	yes
30	1	0.0000	0.0000	119.98	119.98	yes
45	1	0.0000	0.0000	179.97	179.97	yes
70	1	0.0000	0.0000	279.96	279.95	yes
110	3	0.0000	0.0025,0.0000,0.0000	439.93	439.92	yes
160	3	0.0263	0.0070,0.0263,0.0726	639.90	639.82	yes
240	3	0.0893	0.0939,0.0012,0.0893	959.84	959.32	yes
360	3	0.0272	0.0012,0.0272,0.0921	962.44	961.91	yes
540	3	0.0356	0.0356,0.0186,0.0941	963.47	962.90	yes
810	3	0.0440	0.0006,0.1725,0.0440	962.48	961.82	yes
