kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.4	yes
5	1	0.0000	0.0000	4999.2	4998.9	yes
8	3	0.0016	0.0016,0.0297,0.0000	7998.7	7997.9	yes
12	3	0.1563	0.3834,0.1563,0.0750	11997.9	11996.8	yes
20	3	0.1788	0.1638,0.3788,0.1788	19996.8	19994.1	yes
30	1	2.0211	2.0211	29995.9	29993.3	no
45	1	19.4918	19.4918	44994.0	44985.3	no
70	1	43.1254	43.1254	69990.7	69985.0	no
110	1	61.3281	61.3281	109985.0	109965.4	no
