kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789821093.184640739	1789821101.208064218	0.0000	999.9	999.8
2	1	1789821102.714720846	1789821110.741882842	0.0000	1999.8	1999.4
3	1	1789821112.238748222	1789821120.262579530	0.0000	2999.6	2999.2
5	1	1789821121.767856669	1789821129.796188558	0.0000	4999.2	4998.2
8	1	1789821131.296463488	1789821139.324410866	0.0609	7998.7	7997.1
8	2	1789821140.363618914	1789821148.390717666	0.0000	7998.8	7997.8
8	3	1789821149.425913869	1789821157.453470907	0.0000	7998.6	7996.6
12	1	1789821158.956979562	1789821166.975463053	0.1771	11998.1	11996.5
12	2	1789821168.013206588	1789821176.040109909	0.0031	11998.0	11996.7
12	3	1789821177.073404260	1789821185.100745707	0.7771	11998.7	11995.3
20	1	1789821186.627775366	1789821194.656489691	0.5726	19997.0	19993.7
20	2	1789821195.687653539	1789821203.717268244	1.9465	19996.5	19993.7
20	3	1789821204.751791579	1789821212.783183605	0.2825	19997.0	19993.6
30	1	1789821214.289069035	1789821222.316671759	0.7088	29994.3	29990.7
30	2	1789821223.353544692	1789821231.376048573	2.8932	29995.1	29992.4
30	3	1789821232.413717397	1789821240.440901709	7.3983	29995.4	29991.9
45	1	1789821241.958917737	1789821249.985975625	20.7288	44993.9	44977.2
70	1	1789821251.508956156	1789821259.532842638	34.5670	69990.5	69981.7
110	1	1789821261.036931865	1789821269.062374162	57.2329	109981.1	109963.7
12	c1	1789821270.339869429	1789821278.366466623	0.0396	11998.2	11996.5
12	c2	1789821279.400027397	1789821287.424172967	0.0000	11997.9	11996.3
12	c3	1789821288.468492744	1789821296.491183202	0.0042	11998.1	11996.5
