-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.41, port 57298
[  8] local 10.0.0.105 port 5201 connected to 10.0.0.41 port 38729
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]  57.00-58.00  sec   602 KBytes  4.93 Mbits/sec  1.790 ms  4/444 (0.9%)  
[  8]  58.00-59.00  sec   597 KBytes  4.89 Mbits/sec  1.705 ms  11/448 (2.5%)  
[  8]  59.00-60.00  sec   604 KBytes  4.95 Mbits/sec  2.146 ms  4/446 (0.9%)  
[  8]  60.00-61.00  sec   610 KBytes  4.99 Mbits/sec  1.461 ms  2/448 (0.45%)  
[  8]  61.00-62.00  sec   602 KBytes  4.93 Mbits/sec  2.370 ms  2/442 (0.45%)  
[  8]  62.00-63.00  sec   602 KBytes  4.93 Mbits/sec  1.987 ms  10/450 (2.2%)  
[  8]  63.00-64.00  sec   607 KBytes  4.97 Mbits/sec  1.865 ms  3/447 (0.67%)  
[  8]  64.00-65.00  sec   600 KBytes  4.92 Mbits/sec  2.543 ms  5/444 (1.1%)  
[  8]  65.00-66.00  sec   589 KBytes  4.83 Mbits/sec  2.099 ms  18/449 (4%)  
[  8]  66.00-67.00  sec   593 KBytes  4.86 Mbits/sec  2.026 ms  12/446 (2.7%)  
[  8]  67.00-68.00  sec   602 KBytes  4.93 Mbits/sec  1.977 ms  7/447 (1.6%)  
[  8]  68.00-69.00  sec   602 KBytes  4.93 Mbits/sec  1.787 ms  6/446 (1.3%)  
[  8]  69.00-70.00  sec   608 KBytes  4.97 Mbits/sec  2.394 ms  2/447 (0.45%)  
[  8]  70.00-70.01  sec  1.37 KBytes  1.26 Mbits/sec  2.548 ms  0/1 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-70.01  sec  41.2 MBytes  4.94 Mbits/sec  2.548 ms  385/31249 (1.2%)  receiver
