-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 50628
[  8] local 10.0.0.65 port 5201 connected to 10.0.0.1 port 43164
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec  1.70 MBytes  14.3 Mbits/sec  0.821 ms  476/1750 (27%)  
[  8]   1.00-2.00   sec  2.37 MBytes  19.8 Mbits/sec  0.572 ms  23/1795 (1.3%)  
[  8]   2.00-3.00   sec  2.24 MBytes  18.8 Mbits/sec  0.625 ms  104/1781 (5.8%)  
[  8]   3.00-4.00   sec  2.23 MBytes  18.7 Mbits/sec  0.500 ms  123/1794 (6.9%)  
[  8]   4.00-5.00   sec  2.31 MBytes  19.4 Mbits/sec  0.654 ms  37/1768 (2.1%)  
[  8]   5.00-6.00   sec  2.31 MBytes  19.3 Mbits/sec  0.731 ms  63/1790 (3.5%)  
[  8]   6.00-7.00   sec  2.37 MBytes  19.9 Mbits/sec  0.499 ms  21/1794 (1.2%)  
[  8]   7.00-8.00   sec  2.36 MBytes  19.8 Mbits/sec  0.594 ms  10/1781 (0.56%)  
[  8]   8.00-9.00   sec  2.28 MBytes  19.1 Mbits/sec  0.550 ms  74/1778 (4.2%)  
[  8]   9.00-10.00  sec  2.33 MBytes  19.5 Mbits/sec  0.599 ms  48/1793 (2.7%)  
[  8]  10.00-11.00  sec  2.32 MBytes  19.4 Mbits/sec  0.381 ms  60/1795 (3.3%)  
[  8]  11.00-12.00  sec  2.32 MBytes  19.5 Mbits/sec  0.644 ms  40/1778 (2.2%)  
[  8]  12.00-13.00  sec  2.31 MBytes  19.4 Mbits/sec  0.404 ms  64/1793 (3.6%)  
[  8]  13.00-14.00  sec  2.31 MBytes  19.4 Mbits/sec  0.677 ms  37/1768 (2.1%)  
[  8]  14.00-15.00  sec  2.25 MBytes  18.8 Mbits/sec  0.676 ms  109/1791 (6.1%)  
[  8]  15.00-16.00  sec  2.34 MBytes  19.6 Mbits/sec  0.572 ms  43/1793 (2.4%)  
[  8]  16.00-17.00  sec  2.32 MBytes  19.4 Mbits/sec  0.718 ms  44/1778 (2.5%)  
[  8]  17.00-18.00  sec  2.38 MBytes  19.9 Mbits/sec  0.527 ms  14/1793 (0.78%)  
[  8]  18.00-19.00  sec  2.33 MBytes  19.6 Mbits/sec  0.688 ms  40/1788 (2.2%)  
[  8]  19.00-20.00  sec  2.34 MBytes  19.7 Mbits/sec  0.964 ms  26/1781 (1.5%)  
[  8]  20.00-21.00  sec  2.34 MBytes  19.6 Mbits/sec  0.533 ms  44/1795 (2.5%)  
[  8]  21.00-22.00  sec  2.31 MBytes  19.4 Mbits/sec  0.828 ms  45/1775 (2.5%)  
[  8]  22.00-23.00  sec  2.31 MBytes  19.4 Mbits/sec  0.553 ms  59/1790 (3.3%)  
[  8]  23.00-24.00  sec  2.34 MBytes  19.6 Mbits/sec  0.602 ms  25/1777 (1.4%)  
[  8]  24.00-25.00  sec  2.35 MBytes  19.7 Mbits/sec  0.268 ms  32/1789 (1.8%)  
[  8]  25.00-26.00  sec  2.34 MBytes  19.6 Mbits/sec  0.516 ms  33/1784 (1.8%)  
[  8]  26.00-27.00  sec  2.23 MBytes  18.7 Mbits/sec  0.224 ms  126/1793 (7%)  
[  8]  27.00-28.00  sec  2.28 MBytes  19.1 Mbits/sec  0.665 ms  77/1781 (4.3%)  
