-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.5, port 32930
[  8] local 10.0.0.69 port 5201 connected to 10.0.0.5 port 32978
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]  57.00-58.00  sec   588 KBytes  4.82 Mbits/sec  1.730 ms  14/444 (3.2%)  
[  8]  58.00-59.00  sec   580 KBytes  4.75 Mbits/sec  1.689 ms  26/450 (5.8%)  
[  8]  59.00-60.00  sec   593 KBytes  4.86 Mbits/sec  1.164 ms  11/445 (2.5%)  
[  8]  60.00-61.00  sec   604 KBytes  4.95 Mbits/sec  0.966 ms  5/447 (1.1%)  
[  8]  61.00-62.00  sec   543 KBytes  4.45 Mbits/sec  2.426 ms  19/416 (4.6%)  
[  8]  62.00-63.00  sec   596 KBytes  4.88 Mbits/sec  1.683 ms  41/477 (8.6%)  
[  8]  63.00-64.00  sec   563 KBytes  4.61 Mbits/sec  1.024 ms  32/444 (7.2%)  
[  8]  64.00-65.00  sec   603 KBytes  4.94 Mbits/sec  1.626 ms  4/445 (0.9%)  
[  8]  65.00-66.00  sec   581 KBytes  4.76 Mbits/sec  1.349 ms  25/450 (5.6%)  
[  8]  66.00-67.00  sec   591 KBytes  4.84 Mbits/sec  2.224 ms  11/443 (2.5%)  
[  8]  67.00-68.00  sec   585 KBytes  4.79 Mbits/sec  1.737 ms  22/450 (4.9%)  
[  8]  68.00-69.00  sec   607 KBytes  4.98 Mbits/sec  1.558 ms  2/446 (0.45%)  
[  8]  69.00-70.00  sec   591 KBytes  4.84 Mbits/sec  1.366 ms  12/444 (2.7%)  
[  8]  70.00-70.02  sec  12.3 KBytes  4.79 Mbits/sec  1.615 ms  0/9 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-70.02  sec  40.3 MBytes  4.83 Mbits/sec  1.615 ms  1066/31250 (3.4%)  receiver
