rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
360	3	0.0428	0.0428,0.1147,0.0226	359.95	359.72	yes	no
380	3	1.2122	1.2277,0.8755,1.2122	379.95	375.73	no	no
400	3	1.4936	0.9819,1.4936,1.5244	399.95	394.59	no	no
420	1	3.2734	3.2734	419.94	406.17	no	no
440	3	6.7723	1.9408,6.7723,7.6713	439.94	415.90	no	no
460	1	11.3909	11.3909	459.94	407.51	no	no
480	3	1.7934	1.9590,1.7934,1.1274	479.93	472.10	no	no
500	1	9.3992	9.3992	499.93	452.91	no	no
520	1	10.0798	10.0798	519.93	467.49	no	no
540	1	6.1192	6.1192	539.93	506.85	no	no
