1787920525 10.33 53627115 380153394
1787920527 10.33 53628356 380154958
1787920529 10.33 53631174 380154997
1787920531 11.74 53634008 380155009
1787920533 11.74 53636851 380155023
1787920535 10.88 53638480 380156187
1787920537 10.88 53640889 380156611
1787920539 10.88 53643727 380156632
1787920541 13.38 53646542 380156644
1787920543 13.38 53649407 380156646
1787920545 12.46 53650858 380158008
1787920547 12.46 53653687 380158010
1787920549 12.46 53656511 380158016
1787920551 13.15 53659365 380158021
1787920553 13.15 53661334 380158854
1787920555 14.50 53663481 380159527
1787920557 14.50 53666306 380159530
1787920559 15.10 53669144 380159530
1787920561 15.10 53671981 380159532
1787920563 15.10 53673284 380161082
1787920565 15.65 53676116 380161085
1787920567 15.65 53678952 380161086
1787920569 16.48 53681795 380161090
1787920571 16.48 53684053 380161639
1787920573 16.48 53685873 380162641
1787920575 16.92 53688704 380162655
1787920577 16.92 53691570 380162657
1787920579 17.41 53694413 380162658
1787920581 17.41 53695523 380164338
1787920583 17.41 53697255 380165469
1787920586 19.86 53700093 380165476
1787920588 19.86 53702922 380165476
1787920590 20.03 53705766 380165476
1787920592 20.03 53707123 380166928
1787920594 20.03 53709835 380167060
1787920596 20.91 53712671 380167061
1787920598 20.91 53715513 380167066
1787920600 21.32 53718346 380167071
1787920602 21.32 53718920 380169279
1787920604 21.32 53719040 380171933
1787920606 19.61 53719164 380174586
1787920608 19.61 53719227 380177320
1787920610 18.04 53719300 380180044
1787920612 18.04 53719457 380182668
1787920614 18.04 53719529 380185394
1787920616 16.59 53719703 380188006
1787920618 16.59 53719868 380190611
1787920620 15.27 53719992 380193257
1787920622 15.27 53720112 380195912
1787920624 15.27 53721145 380197652
1787920626 16.69 53723915 380197715
1787920628 16.69 53726712 380197749
1787920630 17.67 53729535 380197781
1787920632 17.67 53731794 380198283
1787920634 17.67 53731980 380200869
1787920636 16.34 53732193 380203432
1787920638 16.34 53732306 380206100
1787920640 15.11 53732463 380208721
1787920642 15.11 53732582 380211385
1787920644 15.11 53732719 380214025
1787920646 13.90 53732799 380216732
1787920648 13.90 53732925 380219385
1787920650 12.78 53733023 380222068
1787920652 12.78 53733260 380224604
1787920654 12.78 53733350 380227292
1787920656 11.92 53734286 380229157
1787920658 11.92 53737044 380229224
1787920660 12.65 53739835 380229270
1787920662 12.65 53742662 380229289
1787920664 12.04 53745121 380229676
1787920666 12.04 53745487 380232129
1787920668 12.04 53745569 380234838
1787920670 11.07 53745649 380237550
1787920672 11.07 53745850 380240141
1787920674 10.18 53745919 380242871
1787920676 10.18 53745995 380245591
1787920678 10.18 53746115 380248252
1787920680 9.61 53746336 380250808
1787920682 9.61 53746569 380253349
1787920684 8.92 53746707 380255992
1787920686 8.92 53746831 380258651
1787920688 8.92 53748228 380260074
1787920690 10.29 53751003 380260127
1787920692 10.29 53753808 380260177
