cycle	down_s	up_s	cut_tc_s	collateral	netem_left
1	13.298	4.855	0.077	OK	no
2	14.302	4.883	0.080	OK	no
3	14.311	4.827	0.071	OK	no
4	14.306	4.881	0.071	OK	no
5	14.294	4.870	0.063	OK	no
6	14.305	4.813	0.078	OK	no
7	14.299	4.858	0.067	OK	no
8	14.303	4.909	0.075	OK	no
9	14.310	4.865	0.067	OK	no
10	14.219	4.907	0.076	OK	no
