rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	2.00	2.00	yes
2	1	0.0000	0.0000	4.00	4.00	yes
3	1	0.0000	0.0000	6.00	6.00	yes
5	1	0.0000	0.0000	10.00	10.00	yes
8	1	0.0000	0.0000	16.00	16.00	yes
12	1	0.0000	0.0000	24.00	24.00	yes
20	1	0.0000	0.0000	40.00	39.99	yes
30	1	0.0000	0.0000	59.99	59.99	yes
45	1	0.0000	0.0000	89.99	89.98	yes
70	3	0.0360	0.0360,0.2340,0.0220	139.98	139.84	yes
110	3	0.0827	0.1464,0.0827,0.0662	219.97	219.74	yes
160	3	0.3710	0.3710,0.3080,0.4839	319.95	318.72	yes
240	1	20.5070	20.5070	479.93	384.57	no
