kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789819307.278225495	1789819315.305639983	0.0000	999.9	999.8
2	1	1789819316.403134303	1789819324.429294984	0.0000	1999.8	1999.6
3	1	1789819325.523567734	1789819333.550169823	0.0000	2999.6	2999.0
5	1	1789819334.646849836	1789819342.669877592	0.0000	4999.2	4998.8
8	1	1789819343.793946925	1789819351.824353203	0.0000	7998.7	7997.6
12	1	1789819352.943938773	1789819360.975029738	0.0000	11998.0	11996.8
12	c1	1789819362.054912972	1789819370.085208587	0.8709	11998.0	11996.8
12	c2	1789819371.134882641	1789819379.162465154	0.2021	11997.9	11996.6
12	c3	1789819380.215528800	1789819388.244138931	0.0010	11998.0	11996.0
