rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	20.00	yes	no
30	1	0.0000	0.0000	30.00	30.00	yes	no
45	1	0.0000	0.0000	44.99	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.99	yes	no
110	1	0.0000	0.0000	109.99	109.98	yes	no
160	1	0.0000	0.0000	159.98	159.97	yes	no
240	1	0.0000	0.0000	239.97	239.96	yes	no
360	3	0.0043	0.0012,0.0043,0.0743	359.95	359.84	yes	no
540	1	10.6334	10.6334	539.93	482.49	no	no
810	1	35.0517	35.0517	809.89	525.99	no	no
1200	1	40.4878	40.4878	1199.85	714.03	no	no
