epoch	up	enabled	admin_disabled	edges_down	util_max	down_names
1788366430	10	10	0	0	0.0	none
1788366440	10	10	0	0	0.0	none
1788366451	10	10	0	0	0.0	none
1788366461	10	10	0	0	0.0	none
1788366471	10	10	0	0	0.0	none
1788366481	10	10	0	0	0.0	none
1788366492	10	10	0	0	0.0	none
1788366502	10	10	0	0	0.0	none
1788366512	10	10	0	0	0.0	none
1788366523	10	10	0	0	0.0	none
1788366533	10	10	0	0	0.0	none
1788366543	10	10	0	0	0.0	none
1788366553	10	10	0	0	0.0	none
1788366564	10	10	0	0	0.0	none
1788366574	10	10	0	0	0.0	none
1788366584	10	10	0	0	0.0	none
1788366595	10	10	0	0	0.0	none
1788366605	10	10	0	0	0.0	none
1788366615	10	10	0	0	0.0	none
1788366626	10	10	0	0	0.0	none
1788366636	10	10	0	0	0.0	none
1788366646	10	10	0	0	0.0	none
1788366656	10	10	0	0	0.0	none
1788366667	10	10	0	0	0.0	none
1788366677	10	10	0	0	0.0	none
