rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
360	3	0.0198	0.0198,0.0031,0.0373	359.95	359.86	yes	no
380	3	0.9562	0.0221,1.2402,0.9562	379.95	377.12	no	no
400	1	0.0000	0.0000	399.94	399.92	yes	no
420	1	3.1777	3.1777	419.94	406.57	no	no
440	3	2.8506	1.5717,2.8506,4.9858	439.94	426.12	no	no
460	1	7.2775	7.2775	459.94	426.43	no	no
480	1	5.5213	5.5213	479.93	453.41	no	no
500	1	13.4723	13.4723	499.93	432.55	no	no
520	1	8.8412	8.8412	519.93	473.94	no	no
540	1	9.2096	9.2096	539.93	490.16	no	no
