kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789821427.231138244	1789821435.257731227	0.0000	1000.0	999.8
2	1	1789821436.752848968	1789821444.777294953	0.0000	1999.8	1999.6
3	1	1789821446.276244572	1789821454.299751597	0.0000	2999.6	2999.4
5	1	1789821455.808937683	1789821463.833984349	0.0000	4999.2	4998.7
8	1	1789821465.330561407	1789821473.351900402	0.0219	7998.6	7997.6
8	2	1789821474.389579090	1789821482.409613302	0.0109	7998.7	7998.1
8	3	1789821483.445670310	1789821491.468293380	0.0047	7998.5	7997.5
12	1	1789821492.967526390	1789821500.991736467	0.0000	11998.0	11995.4
20	1	1789821502.482740153	1789821510.511498527	0.0138	19996.5	19993.2
20	2	1789821511.545122784	1789821519.571888835	0.0281	19996.7	19994.3
20	3	1789821520.617502514	1789821528.647869443	0.3869	19996.8	19993.0
30	1	1789821530.151060836	1789821538.169792069	3.3554	29995.6	29992.1
45	1	1789821539.668262717	1789821547.688328921	4.5091	44993.6	44988.0
70	1	1789821549.188310997	1789821557.212503467	32.4163	69990.3	69971.3
110	1	1789821558.722131715	1789821566.746378665	57.9123	109984.6	109950.7
20	c1	1789821568.027179866	1789821576.052528649	0.0119	19996.6	19993.4
20	c2	1789821577.085246397	1789821585.110173515	0.0188	19996.7	19994.6
20	c3	1789821586.147576611	1789821594.172396142	0.1019	19996.5	19994.1
