kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789821944.074200959	1789821952.098001006	0.0000	999.9	999.8
2	1	1789821953.184239091	1789821961.212014078	0.0000	1999.7	1999.6
3	1	1789821962.305428702	1789821970.335853262	0.0000	2999.6	2999.1
5	1	1789821971.427127881	1789821979.460261623	0.0000	4999.2	4998.0
8	1	1789821980.544736445	1789821988.568005118	0.0000	7998.7	7998.0
12	1	1789821989.650992468	1789821997.676304503	0.0302	11998.2	11995.9
12	2	1789821998.709301860	1789822006.736435790	0.0000	11998.1	11996.5
12	3	1789822007.767969341	1789822015.787893791	0.0146	11998.2	11995.8
20	1	1789822016.875797312	1789822024.898744047	0.0406	19997.1	19995.8
20	2	1789822025.939034934	1789822033.967988173	0.0200	19996.7	19993.8
20	3	1789822035.008488334	1789822043.038421828	0.0313	19996.4	19992.8
30	1	1789822044.124440619	1789822052.154100279	0.3825	29994.9	29988.2
30	2	1789822053.190345131	1789822061.215249373	0.5271	29995.6	29991.4
30	3	1789822062.248250569	1789822070.273804668	0.2154	29995.5	29990.7
45	1	1789822071.359378031	1789822079.385129007	5.3634	44992.7	44987.2
70	1	1789822080.484472769	1789822088.510980892	30.4428	69988.7	69980.5
110	1	1789822089.607954246	1789822097.635849922	53.4775	109985.5	109963.1
30	c1	1789822098.719806073	1789822106.750500744	1.0785	29994.6	29990.8
30	c2	1789822107.790721181	1789822115.817698240	0.1913	29994.6	29991.3
30	c3	1789822116.853800755	1789822124.880117290	0.0825	29995.1	29990.0
