rate_mbit offered_mbit delivered_mbit loss_pct jitter_ms
5	5.00	5.00	0.000	0.084
10	10.00	10.00	0.000	0.071
20	20.00	20.00	0.000	0.039
40	39.99	39.99	0.000	0.016
80	79.99	79.99	0.016	0.018
160	159.98	159.98	1.491	0.010
