kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789810760.768081226	1789810768.797278045	0.0000	999.9	999.8
2	1	1789810769.881305113	1789810777.907367204	0.0000	1999.8	1999.4
3	1	1789810779.016850970	1789810787.045195237	0.0000	2999.6	2999.1
5	1	1789810788.126547980	1789810796.147161322	0.0000	4999.2	4998.7
8	1	1789810797.239271228	1789810805.263598078	0.0000	7998.7	7998.0
12	1	1789810806.350591854	1789810814.375812093	0.0000	11998.1	11996.5
20	1	1789810815.465921704	1789810823.491053654	0.0025	19996.4	19994.8
20	2	1789810824.524967120	1789810832.554137169	0.0119	19996.5	19993.2
20	3	1789810833.589434242	1789810841.618127332	0.0419	19996.8	19993.7
30	1	1789810842.709433889	1789810850.738600684	0.0838	29995.3	29990.5
30	2	1789810851.774143873	1789810859.800924525	0.3892	29995.1	29990.9
30	3	1789810860.834516837	1789810868.865799947	0.4367	29994.9	29990.5
45	1	1789810869.953259473	1789810877.983504553	6.1885	44992.9	44983.7
70	1	1789810879.069461262	1789810887.100925152	31.3773	69988.0	69971.8
110	1	1789810888.188311377	1789810896.216318096	47.9627	109981.2	109963.2
30	c1	1789810897.291395817	1789810905.322339476	0.2200	29995.2	29987.8
30	c2	1789810906.360037611	1789810914.387546757	0.0850	29994.7	29989.6
30	c3	1789810915.420648443	1789810923.451222010	2.0761	29995.1	29988.9
