kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.5	2999.2	yes
5	1	0.0000	0.0000	4999.2	4998.9	yes
8	1	0.0000	0.0000	7998.7	7998.2	yes
12	3	0.0000	0.0042,0.0000,0.0000	11998.1	11997.1	yes
20	3	0.0100	0.0100,0.0194,0.0031	19996.6	19994.2	yes
30	3	0.1358	0.1358,0.0438,0.2804	29995.0	29990.5	yes
45	1	4.1771	4.1771	44992.9	44984.0	no
70	1	29.7262	29.7262	69988.8	69983.4	no
110	1	47.9981	47.9981	109984.7	109964.3	no
