kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789817175.431500654	1789817183.458477648	0.0000	999.9	999.8
2	1	1789817184.547429558	1789817192.571074143	0.0000	1999.8	1999.6
3	1	1789817193.668277780	1789817201.691794631	0.0000	2999.5	2999.2
5	1	1789817202.779904245	1789817210.801932792	0.0000	4999.2	4998.9
8	1	1789817211.887799701	1789817219.909916183	0.0000	7998.7	7998.2
12	1	1789817220.996622835	1789817229.021305836	0.0042	11997.9	11996.8
12	2	1789817230.058425447	1789817238.079610911	0.0000	11998.3	11997.4
12	3	1789817239.113492903	1789817247.137062100	0.0000	11998.2	11997.1
20	1	1789817248.227906313	1789817256.255101822	0.0100	19996.5	19994.7
20	2	1789817257.292067254	1789817265.317565839	0.0194	19996.6	19994.2
20	3	1789817266.353973428	1789817274.383610977	0.0031	19996.6	19993.6
30	1	1789817275.469177698	1789817283.500299482	0.1358	29994.8	29990.3
30	2	1789817284.530736144	1789817292.557403798	0.0438	29995.1	29990.1
30	3	1789817293.597436825	1789817301.622945001	0.2804	29995.0	29991.2
45	1	1789817302.703593345	1789817310.730581910	4.1771	44992.9	44984.0
70	1	1789817311.809944255	1789817319.828129902	29.7262	69988.8	69983.4
110	1	1789817320.937027079	1789817328.960665555	47.9981	109984.7	109964.3
30	c1	1789817330.044538482	1789817338.070004810	0.1992	29995.3	29992.8
30	c2	1789817339.111461882	1789817347.133196779	0.1096	29995.3	29990.8
30	c3	1789817348.168414564	1789817356.193795119	0.0696	29995.3	29992.7
