kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789810944.908509919	1789810952.936849317	0.0000	999.9	999.7
2	1	1789810954.030266284	1789810962.064070377	0.0000	1999.8	1999.0
3	1	1789810963.161166030	1789810971.185837285	0.0000	2999.6	2999.3
5	1	1789810972.270225905	1789810980.297108582	0.0000	4999.3	4998.8
8	1	1789810981.377983447	1789810989.404429159	0.0000	7998.6	7997.4
12	1	1789810990.493709804	1789810998.519568993	0.0000	11998.1	11996.5
20	1	1789810999.602252077	1789811007.631139550	0.7120	19996.4	19992.4
20	2	1789811008.666455086	1789811016.689705208	0.0181	19996.7	19994.6
20	3	1789811017.725551868	1789811025.748824991	0.0931	19997.2	19995.2
30	1	1789811026.832486218	1789811034.856310546	0.9280	29995.1	29991.4
30	2	1789811035.893769949	1789811043.913780694	0.2046	29995.2	29992.4
30	3	1789811044.953327923	1789811052.975139455	0.1713	29994.7	29992.0
45	1	1789811054.072953906	1789811062.096609974	9.5366	44992.7	44988.1
70	1	1789811063.176899554	1789811071.201907886	29.2882	69988.3	69981.7
110	1	1789811072.306693060	1789811080.332844548	49.2399	109983.9	109974.8
30	c1	1789811081.410405035	1789811089.434171374	0.3884	29994.6	29992.0
30	c2	1789811090.469400243	1789811098.502158261	0.2875	29995.0	29987.1
30	c3	1789811099.535112876	1789811107.559538262	0.4384	29995.8	29992.9
