kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789815940.580725748	1789815948.601478677	0.0000	999.9	999.9
2	1	1789815949.690676899	1789815957.717685918	0.0000	1999.8	1999.5
3	1	1789815958.818109842	1789815966.845015882	0.0000	2999.6	2999.0
5	1	1789815967.931479626	1789815975.955628947	0.0000	4999.2	4998.9
8	1	1789815977.047045774	1789815985.066803961	0.0000	7998.7	7998.0
12	1	1789815986.162021621	1789815994.184760878	0.0000	11998.1	11996.9
20	1	1789815995.264720956	1789816003.284716039	0.0269	19997.0	19995.7
20	2	1789816004.319924815	1789816012.345068055	0.1625	19996.5	19994.6
20	3	1789816013.386103684	1789816021.410526553	0.0138	19996.5	19994.5
30	1	1789816022.495821656	1789816030.521771910	0.2754	29995.7	29981.6
30	2	1789816031.554267484	1789816039.579007894	0.1388	29995.1	29991.0
30	3	1789816040.618009525	1789816048.638701827	0.2800	29994.9	29992.5
45	1	1789816049.727463169	1789816057.749436815	11.3307	44992.4	44987.0
70	1	1789816058.840347261	1789816066.862194183	29.1328	69989.6	69984.3
110	1	1789816067.957292307	1789816075.981010972	48.8778	109983.4	109973.7
30	c1	1789816077.046745142	1789816085.067161380	0.1317	29995.3	29991.4
30	c2	1789816086.103037561	1789816094.123837305	0.2246	29995.4	29992.2
30	c3	1789816095.153071298	1789816103.181936540	0.1138	29994.9	29988.7
