rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1	1	yes	no
2	1	0.0000	0.0000	2	2	yes	no
3	1	0.0000	0.0000	3	3	yes	no
5	1	0.0000	0.0000	5	5	yes	no
8	1	0.0000	0.0000	8	8	yes	no
12	1	0.0000	0.0000	12	12	yes	no
20	1	0.0000	0.0000	20	20	yes	no
30	1	0.0000	0.0000	30	30	yes	no
45	1	0.0000	0.0000	45	45	yes	no
70	1	0.0000	0.0000	70	70	yes	no
110	1	0.0000	0.0000	110	110	yes	no
160	1	0.0000	0.0000	160	160	yes	no
240	0	NA	NA	NA	NA	SENDER_LIMITED	yes
