kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.5	yes
3	1	0.0000	0.0000	2999.5	2999.1	yes
5	1	0.0000	0.0000	4999.2	4998.5	yes
8	1	0.0000	0.0000	7998.6	7997.9	yes
12	3	0.0000	0.0010,0.0000,0.0000	11998.0	11997.0	yes
20	3	0.0131	0.0138,0.0000,0.0131	19996.4	19993.8	yes
30	3	0.2192	0.0896,0.7901,0.2192	29995.2	29990.0	yes
45	1	6.3398	6.3398	44992.8	44981.3	no
70	1	30.1068	30.1068	69990.5	69959.7	no
110	1	53.1818	53.1818	109984.3	109922.7	no
