kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789818120.069387730	1789818128.094528505	0.0000	999.9	999.8
2	1	1789818129.194919681	1789818137.226241468	0.0000	1999.8	1999.5
3	1	1789818138.323790964	1789818146.352957749	0.0000	2999.5	2999.1
5	1	1789818147.437807001	1789818155.462327497	0.0000	4999.2	4998.5
8	1	1789818156.546961576	1789818164.571238053	0.0000	7998.6	7997.9
12	1	1789818165.664602521	1789818173.683013659	0.0010	11997.9	11997.2
12	2	1789818174.717080583	1789818182.737144030	0.0000	11998.1	11997.0
12	3	1789818183.771973211	1789818191.792959083	0.0000	11997.9	11996.8
20	1	1789818192.888695768	1789818200.914245716	0.0138	19996.5	19994.5
20	2	1789818201.948538937	1789818209.978518844	0.0000	19996.3	19993.1
20	3	1789818211.013978737	1789818219.037773502	0.0131	19996.5	19993.8
30	1	1789818220.123116180	1789818228.148483005	0.0896	29995.2	29990.5
30	2	1789818229.183936209	1789818237.208828401	0.7901	29995.2	29991.3
30	3	1789818238.248914106	1789818246.273715509	0.2192	29995.1	29988.3
45	1	1789818247.361177415	1789818255.391671992	6.3398	44992.8	44981.3
70	1	1789818256.476167509	1789818264.508107331	30.1068	69990.5	69959.7
110	1	1789818265.606080555	1789818273.639004540	53.1818	109984.3	109922.7
30	c1	1789818274.713982283	1789818282.739712931	0.2942	29995.2	29991.0
30	c2	1789818283.779491034	1789818291.806772475	0.3667	29995.1	29990.9
30	c3	1789818292.841746474	1789818300.871668533	1.0539	29995.8	29990.1
